0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Na2o,P02,o5,Na 2 o/P,2,,,o5,Na2HP04 a,,,NaOH a,,Na2o/P 2,,5.0
mass%,mass%,,mol,ratio,,,,mass% mo1/kg,,,mass%,mol/kg,mo1ratio,,
,,,,,,,,temp = 573,K,,,,,,
1.70,0.43,,9.05,,,,,0.860.062,,,1.71,0.44,2.82,,
1.40,0.60,,5.34,,,,,1.200.086,,,1.13,0.29,2.81,,
1.62,1.32,,2.80,,,,,2.640.19,,,0.60,0.16,2.73,,
2.00,1.97,,2.33,,,,,3.340.24,,,0.70,0.18,"2,76",,
"2,29","2,43",,2.15,,,,,4.870.36,,,0.22,0.056,2.75,,
3.36,3.59,,2.14,,,,,"7.190,55",,,0.29,0.078,2.76,,
3.36,3.59,,2.14,,,,,7.190.55,,,0.29,0.078,2.66,,
,,,,,,,,temp = 524,K,,,,,,
6.51,2.15,,6.94,,,,,4.310.34,,,5.98,1.67,2.75,,
4.55,3.15,,3.31,,,,,"6.310,48",,,2.32,0.64,2.68,,
"10,5",9.99,,"2,41",,,,,20.011.81,,,2.29,o .74,2.64,,
