0,1,2,3,4,5,6,7
----,----,10.32,0.81,89.68,,A,
4.25,0.34,8.90,0.72,86.85,,I I,
7.79,0.65,7.99,0.67,84.22,,I I,
"9,82",0.84,7.52,0.64,82.66,,I I,
12.77,1.12,7.38,0.65,74.85,,I I,
15.02,1.37,7.62,0.69,77.36,A,+,B
15.20,1.38,7.38,0.67,77.43,,I I,
15.03,1.37,7.62,0.69,77.35,,I I,
15.06,1.37,7.48,0.68,77.46,,I I,
15.06,1.37,7.44,0.68,77. so,,I I,
15.04,1.37,7.45,0.68,77.51,,I I,
15.04,1.37,7.54,0.68,77.42,,t i,
16.27,1.47,5.92,0.54,77.81,,B,
17.83,1.61,4.14,0.37,78.03,,I I,
19.1921.98,1.73  1.98,2--. -70-,0.24 ----,78.1178.02,,I I  II,
