0,1,2,3,4,5,6,7,8,9,10
solid c. mass% 3 cone b,,,2 mass%,,4 cone b,,mass%,b cone,,phases
20.3268.00,,,9.17,,31.10,,,,,A + B
18.1754.72,,,7.93,,23.80,,7.10,21.48,,I I
17.2148.64,,,7.70,,21.90,,10.47,29.46,,I I
14.8540.36,,,7.18,,19.48,,14.80,40.16,,I I
13.2035.44,,,6.63,,17.82,,17.42,46.74,,I I
11.4329.52,,,"6,26",,16.20,,21.04,"54,28",,I I
"9.6123,97",,,"5,73",,"14,28",,24.78,61.75,,I I
"8.0519,30",,,"5,66",,13.59,,"27,97",67.11,,A +  B + C
,,,6.34,,19.60,,26.05,80.40,,B + C
1.955.32,,,5.95,,17.18,,27.30,77. so,,I I
3.708.28,,,5.81,,16.42,,"27,91",75.30,,I I
5.8113.80,,,5.71,,14.78,,28.10,71.42,,I I
8.0519.30,,,5.64,,13.61,,27.99,"67,07",,A + B  + C
12.3128.75,,,,,,,"30,51",71.25,,A + C
10.5024.61,,,1.78,,4.18,,"30,38",71.21,,I I
"9.3322,10",,,"2,90",,6.89,,29.98,71.01,,I I
8.4719.80,,,4.71,,10.30,,28.70,69.90,,I I
8.0519.30,,,5.63,,13.57,,27.94,67.13,,A + B + C
