0,1,2,3,4,5,6,7,8
mass%,mass%,mass%,mol/ kg mass%,,mo1/kg,mass%,mol/kg,mass%
,,,temp = 30 ° C .,,,,,
10.2,12.9,24.74,1.241.95,,0.24,----,----,73.31
12.5,14.21,27.25,1.453.66,,0.47,----,----,69.09
17.5,17.22,33.02,2.037.23,,1.08,----,----,59.75
24.4,22.0,42.19,3.341 1.44,,2.20,----,----,46.37
7.15,10.8,20.66,0.96 ----,,----,0.04,0.oo,79.30
"8,4",14.6,24.27,1.22  ----,,----,2.68,0.19,73.04
9.35,19.5,27.02,1.52 ----,,----,7.47,0.58,65.51
9.5,23.8,27.45,1.70  ----,,----,13.10,1.12,59.45
10.37,30.8,29.96,2.24 ----,,----,20.95,2.18,49.08
11.3,37.8,32.65,3.10 ----,,----,28.68,3.78,38.67
11.9,42.0,34.39,3.90  ----,,----,33.23,5.24,32.38
10.3,51.0,29.76,5.14 ----,,----,49.00,11.76,21.25
6.76,59.9,19.53,6.07 ----,,----,68.64,29.62,11.82
,,,temp = 40 ° C .,,,,,
10.8,14.2,27.23,1.41  1.64,,0.21,----,----,71.13
13.3,15.6,29.91,1.653.51,,0.47,----,----,66.57
"18,1","18,5",35.48,2.26  6.94,,1.07,----,----,57.59
24.5,22.6,43.34,3.5111.32,,2.22,----,----,45.34
8.43,12.7,24.35,1.18 0.oo,,0.00,----,----,75.65
"9,4",16.15,27.16,1.42  ----,,----,2.74,0.20,70.10
10.45,20.95,30.20,1.77  ----,,----,7.18,0.59,62.62
10.5,25.0,30.34,1.96  ----,,----,12.67,1.13,56.99
11.4,31.8,32.94,2.58 ----,,----,20.19,2.20,46.87
12.1,38.3,34.96,3.44 ----,,----,27.71,3.79,37.33
12.6,42.4,36.41,4.28 ----,,----,32.33,5.28,31.26
8.68,59.3,22.16,7.00 ----,,----,66.20,29.02,11.64
,,,temp = 50° c .,,,,,
11.55,15.8,30.30,1.631.27,,0.16,----,----,68.43
14.3,17.25,33.08,1.91 3.40,,0.48,----,----,63.52
18.7,19.7,37.78,2.506.70,,1.08,----,----,55.52
9.77,14.8,28.23,1.45 ----,,----,0.11,0.01,71.66
10.5,17.75,30.34,1.66 ----,,----,2.66,0.20,67.00
11.56,22.4,33.40,2.05 ----,,----,6.88,0.59,59.72
11.69,26.25,33.78,2.28 ----,,----,11.92,1.12,54.30
12.4,32.7,35.83,2.94 ----,,----,19.35,2.20,44.82
13.1,38.9,37.85,3.90 ----,,----,26.45,3.78,35.69
13.42,42.6,38.78,4.70  ----,,----,30.90,5.20,30.23
8.68,59.3,25.08,8.30 ----,,----,63.82,29.34,11.10
