0,1,2,3,4,5,6,7,8,9
dig cm -3,Hlo;,Cl-,,+ NH4,,H20,solid phases a,,
1.1100,7.6,92.4,8.0,92.0,,925,"""NH Cl"" +  ""NH H PO",,I I
"1,1134",7.7,92.3,12.1,87.9,,905,41 11 14 112,4,
1.1300,8.1,91.9,"17,9",82.1,,888,""" "" """,,
1.1335,"8,5",91.5,24.4,75.6,,850,I I  I I  I f,,
1.1385,8.7,"91,3","28,7",71.3,,810,ternary eutectic,point,
1.1504,8.3,91.7,29.8,70.2,,865,"""KCl""  + ""KH PO",I I,
1.1514,8.3,91.7,32.7,67.3,,887,t i  I I  11,4,
1.1657,7.5,92.5,66.6,33.4,,1135,""" "" """,,
1.1695,7.7,92.3,85.8,14.2,,1310,""" t f  """,,
1.1740,7.3,92.7,90.0,10.0,,1380,""" f f  """,,
1.1272,3.6,96.4,28.2,71.8,,845,"""KCl""  + ""NH Cl"" 4",,
