0,1,2,3,4,5,6,7
2 7 3 . 2,,0 . 00213 71,,,,0 . 12,1 . 6 6
278 . 2,,0 . 003 7242,,,,0 . 21,2 . 8 7
283 . 2,,0 . 0055 018,,,,0 . 31,4 . 19
288 . 2,,0 . 0074 97 9,,,,0 . 4 2,5 . 63
293 . 2,,0 . 010172,,,,0 . 5 7,7 . 5 1
2 98 . 2,,0 . 014 714,,,,0 .8 3,10 . 55
303 . 2,,0 . 02 414 9,,,,1 . 3 7,16 . 34
308 . 2,,0 . 04 7 504,,,,2 . 7 7,28 . 25
309 . 45 a,,0 . 058234,,,,3 . 4 3,32 . 80
,,,Na2HP0 4,• 7H,,20,
309 . 4 5,,0 . 058234,,,,3 . 4 3,32 . 80
311 . 2,,0 . 058862,,,,3 . 4 7,3 3 . 06
313 . 2,,0 . 064 287,,,,3 . 82,35 . 17
315 . 2,,0 . 070110,,,4 . 19,,3 7 . 32
317 . 2,,0 . 0 7 644 3,,,4 . 60,,39 . 5 3
319 . 2,,0 . 08 34 31,,,,5 . 06,4 1 .82
321 . 2b,,0 . 09125 4,,,,5 . 58,4 4 . 23
321 . 6,,0 . 092892,,,5 . 69,,44 . 71
