0,1,2,3,4,5,6,7,8,9
no .,b mass% mol% a,,mass%,mol%a,a mass% mol%a,mol%,,phase,
1,"15 . 07 66 , 72",,7 . 52,33 . 28,---- ----,27 67 . 3,,A + B,
2,14 . 03 54 . 40,,"6 , 92","26 , 81","2,8 5 18 . 7 9",2325 .8,,,
3,"13 . 54 48 , 19",,"6 , 90",24 . 54,"4 . 56 27 , 2 7",2104 . 8,,,
4,"13 . 39 4 5 , 12",,6 . 86,23 . 16,"5 , 65 31 .  72",19 69 . 9,,,
5,"12 , 32 36 , 13",,"6 , 83","19 , 99","8 . 9 5  43 , 88","1662 , 5",,,
6,"12 . 35 32 , 48",,6 . 63,17 . 44,"11 . 52 50 , 08",1234 . 5,,,
7,12 . 02 28 . 4 7,,"6 , 49",15 . 29,"14 . 29 56 , 24",1248 . 9,,,
8,10 . 9 6 23 . 49,,6 . 07,13 . 07,17 . 67 63.44,1106 . 7,,A + +,C
9,10 . 06 20 . 67,,6 . 04,10 . 91,20 . 50 68 . 42,1027 . 3,,,
10,8 . 84 16 . 53,,5 . 50,10 . 26,23 . 4 6  7 3 . 21,901 . 9,,1 1 C,
11,6 . 53 12 . 05,,4 . 55,8 . 41,27 . 52 7 9 . 54,"905 , 1",,I I,
12,5 . 25 ' 8 . 95,,4 . 10,6 . 97,29 . 65 84 . 08,817 . 2,,I I,
13,4 . 99 7 . 96,,3 . 7 6,6 . 01,32 . 3 5  86 . 03,742 . 0,,A + C +,D
14,14 . 94 28 . 67,,----,----,22 . 24 7 1 . 33,9 52 . 6,,B + C,
15,13 . 98 27 . 45,,1 . 25,2 . 45,21 . 3 9  70 . 10,980 . 5,,I I,
16,"13 , 99 27 , 57",,"2 , 72",5 . 3 6,20 . 37 67 . 07,950 . 4,,I I,
17,"11.81 24,9",,4 . 00,8 . 16,"19 . 88 67 , 7 5","103 5 , 0",,I I,
18,11 . 28 23 . 8,,5 . 43,11 . 4 6,18.37 64 . 7 4,1080 . 5,,I I,
19,11 . 22 23 . 87,,"5 , 65",12 . 03,"18 . 09 64 , 10","1093 , 0",,I I,
20 21,"10 , 99 5 . 02 23,61 6 . 42",,6--. 0-4-,12 . 9 7 -----,"17 , 67 43.7 5 9 3 , 58 63 . 42","1106 , 7 517 . 5",,A + C  B + + D,C
22,5 . 01 7 . 12,,"1 ,83",2 . 60,37 . 96  9 0 . 28,"619 , 9",,I I,
23,"5 , 04 7 . 58",,3 . 06,4 . 59,34.96 87 .83,67 7 . 7,,I I,
