0,1,2,3,4,5
no . mass%,mol / kg,mass%,mol/kg,mass%,mol /kg
1,,,,7 8 . 93,38 . 24
2 2 . 4 6,0 . 62,,,7 8 . 96,43 . 38
3 5 . 68,1 .  7 0,,,78 . 62,51 . 12
4 7 . 35,2 . 51,,,78 . 8 6,58 . 37
5 7 . 60,2 . 60,,,78 . 64,58 . 39
6 8 . 64,4 . 18,,,81 . 63,85 . 7 0
7 8 . 28,3 . 7 2,,,81 . 23,7 9 . 09
"8 7 , 92",3 . 28,,,so . 7 2,7 2 . 57
9 7 . 4 1,2 . 38,,,7 7 . 9 3,54 . 28
10 6 . 58,1 . 63,,,7 4 . 4 5,40 . 06
11  6 . 50,1 . 58,,,7 4 . 14,39 . 10
1 2  7 . 9 6,1 . 42,,,65 . 62,2 5 . 3 6
13 9 . 09,1 . 48,,,61 . 98,2 1 .  8 7
14 12 . 2 5,1 . 84,,,56 . 51,18 . 46
1 5  1 5 . 58,2 . 3 3,,,53 . 01,17 . 23
16  15 . 84,2 . 3 7,,,52 . 7 4,17 . 13
1 7  16 . 4 1,2 . 66,,,54 . 62,1 9 . 24
18 1 5 . 3 6,2 . 12,,,5 0 . 57,15 . 15
19  13 . 42,1 . 4 6,,,4 3 . 40,10 . 2 6
20  12 . 28,1 . 18,,,38 . 80,8 . 09
21  10 . 2 9,0 .  7 6,,,2 6 . 69,4 . 23
22 8 . 64,0 . 55,,,1 7 . 7 6,2 . 4 6
23 7 . 3 5,0 . 4 1,,,10 . 07,1 . 24
24 6 . 62,0 . 3 5,,,6 . 14,0 .  7 1
25  9 . 54,0 . 53,,,6 .  7 1,0 . 81
26  12 . 7 7,o .  7 5,,,7 . 64,0 . 97
27  22 . 81,1 . 60,,,10 . 33,1 . 57
28 24 . 3 5,1 . 7 6,,,10 . 84,1 . 7 0
29  31 . 83,2 . 70,,,12 . 74,2 . 34
3 0  33 . 80,2 . 97,,,1 2 . 65,2 . 4 1
31  40 . 7 3,4 . 2 7,,,14 . 3 6,3 . 2 6
32  41 . 53,4 . 39,,,13 . 9 5,3 . 19
3 3  43 . 9 5,4 . 99,,,14.57,3 . 58
34 4 5 . 90,5 . 4 3,,,14 . 3 1,3 . 6 7
3 5  47 . 3 4,5 . 69,,,13 . 49,3 . 51
3 6  46 . 64,5 . 2 7,,,11 . 7 0,2 . 86
3 7  46 . 38,5 . 09,,,10 .  7 3,2 . 5 5
3 8  49 . 15,5 . 40,,,8 . 03,1 . 9 1
39  51 . 6 7,5 . 80,,,6 . 4 1,1 . 5 6
40 51 . 84,5 . 87,,,6 . 56,1 . 61
4 1  40 . 66,4 . 13,,,13 . 02,2 . 8 7
4 2  38 . 99,3 . 65,,,10 . 7 4,2 . 18
4 3  3 7 . 44,3 . 2 7,,,8 . 7 2,1 . 65
44 40 . 4 6,3 . 63,,,7 . 03,1 . 3 6
4 5 4 4 . 1 1,4 . 12,,,5 . 51,1 . 11
4 6  4 7 . 03,4 . 67,,,5 . 59,1 .  20
4 7 49 . 03,4 . 7 3,,,4 . 7 3,1 . 04
48  49 . 34,5 . 04,,,4 . 59,1 . 01
4 9 1 . 00 so 48 . 52 4 6 . 98,4 . 87 4 . 38,,,4 . 60 2 . 5 7,0 . 52
51  4 5 . 3 9,3 . 98,,,0 . 9 0,0 . 17
52 44 . 28,3 . 7 4,,,0 . 02,0 . 00
53 40 . 64,3 . 3 9,3 . 03,0 . 9 5,,
54 40 . 1 1,3 . 32,3 . 07,0 . 9 6,,
55  3 5 . 8 3,2 . 91,6 . 34,1 .  9 5,,
56  21 . 68,1 . 68,17 . 59,5 . 16,,
57 23 . 2 1,1 . 80,16 . 33,4 . 8 1,,
