0,1,2,3,4,5,6,7,8
mass%,mass%,mass%,mol/kg,mass% mol/kg,,mass%,mol/kg,mass%
,,,,t emp .. 25° c.,,,,
10 . 0,12.4,23 . 78,1 . 18,2.11,0 . 2 5,----,----,74 . 11
12 . 19,13 . 65,26 . 17,1 . 37,3.73,0.47,----,----,7 0 . 09
16.7,16.65,3 1 . 93,1 . 9 1,6 . 73,0 . 9 8,----,----,61 . 34
24 . 25,21 . 7,41 . 61,3 . 28,1 1 . 7 3,2 . 24,----,----,46 . 65
6 .85  7 . 7 9,10 . 4  13 .85,"19 . 7 9  22 , 51","0 , 91 1 . 11",--------,---- ----,0 . 11 2 . 9 2,0 . 01 0 . 20,80 . 10 74 . 58
8 . 78,18 . 7 5,25 . 3 7,1 . 39,----,----,7 . 62,0 . 58,67 . 01
8.97,23 . 18,2 5 . 92,1 . 57,----,----,13 . 34,1 . 12,6 0 . 74
"9.84 10 ,86",3 0 . 6  3 7 . 6,28 . 43 31 . 38,2.10 2 . 93,----- ---,---- ----,21 . 78 29 . 32,2 . 23 3 .81,49 . 7 9  39 . 30
11 . 55,41 .85,33 . 37,3 . 73,----,----,,,
9.9,51 . 3,28.61,4.97,----,----,33 . 7 5  50 .23,5 .24 12 . 11,32 .87  21 . 16
6 . 3,59.8,18 . 20,5 . 42,----,----,69.46,28 . 73,12 . 3 3
