0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,,,,,,,,,sol id
tt •c .,mass%,b cone,,a mol/kg,,mass%,b cone,,a mol/kg,,mass%,b cone,,phase
-10,0,0,,o . oo,,30 . 7 0,100,,7 .37,,69 . 30,7 52,,ice
-10,2 . 00,1 . 50,,0 .21,,29 . 70,98 . 50,,7 . 24,,69 . 30,7 65,,""""
-10,"2 , 92",4 . 60,,0 . 30,,27 . 10,9 5 . 40,,6 . 44,,"69 , 98",820,,""""
-10,"6 ,8 6",11 . 20,,o . 72,,23 .80,88 .80,,s . 71,,"69 ,34",859,,""""
-10,"7 , 60",10 . 7 0,,0 .86,,27 . 72,89 . 30,,7 . 13,,64 . 68,694,,KH2Po4
-10,6 . 16,7 . 80,,0 . 72,,31.60,92 . 20,,8 . 4 5,,62 . 24,602,,urea
-10,"2 , 69","3 , 50",,"0 ,30",,32 . 60,96 . 50,,8 . 38,,64 . 7 1,638,,""""
-10,0,0,,o . oo,,3 3 . 50,100,,8.38,,"6 6 , 50",660,,""""
0,12 . 15,100,,1 . 01,,0,0,,o . oo,,87 .85,5460,,KHiPo4
0,10 . 65,"34,50",,"0 , 97",,"8 , 93",65.50,,1 .84,,80 . 42,1967,,
0,"9 ,85",19 . 60,,1 . 01,,18 . 10,80.40,,4 . 18,,7 1 . 95,1065,,""""
0,8 . 80,12 . 50,,1 . 01,,27 . 36,87 . 50,,7 . 13,,63 . 84,680,,""""
0,"5 , 60",6 . 10,,o . 72,,37 . 70,"93 , 90",,11 . 07,,56 . 7 0,470,,urea
0,2 . 4 5,2 . 7 0,,"0 , 30",,38 . 80,97 . 30,,10 . 99,,58 . 7 5,491,,""""
0,0,0,,0 . 00,,39.80,100,,11 . 00,,60 . 20,520,,""""
+10,14 . 95,100,,1 . 29,,0,0,,0 . 00,,85 . 06,4300,,KHiP04
+10,13 . 25,40 . 30,,1 . 24,,8 . 67,59 . 7 0,,1 .84,,78 . 08,17 93,,
+10,11 . 60,22 . 50,,1 . 20,,17 . 68,7 7  . so,,4 . 16,,"70 , 7 2 -",1033,,I I
+10,10 . 00,"1,4 . 10",,1 . 16,,27 . 00,8 5 . 90,,7 . 13,,"63 , 00",669,,""""
+10,8 . 20,8 . 90,,1 . 09,,36 . 7 0,91 . 10,,11 . 08,,55 . 10,455,,""""
+10,7 . 40,7 . 20,,1 . 06,,41 . 65,92 .80,,13 . 62,,50 . 95,37 7,,""""
