0,1,2,3,4,5,6,7,8,9,10,11,12
,HlO + Cl- K +,+ NH4,,H NH2,0.0,,+ K,,4,,,
,9 . 8  90 . 2 5 7 . 8,42 . 2,,1090,,,8 5 . 5,14 . 5,,,,
,45 . 9 54 . 1 49 . 2,50 .8,,1690,,,78.9,21.1,,,,
,33 . 8 6 6 . 2  45 . 5,54 . 5,,1680,,,7 1 . 7,"28 , 3",,,,
,27 . 4  7 2 . 6  42 . 7,57 . 3,,1450,,,66 . 1,33 . 9,,,,
,27 . 2  7 2 . 8 43 . 3,5 6 . 7,,1565,,,64 . 8,3 5 . 2,,,,
,19 . 7 80 . 3  40 . 9,59 . 1,,113 5,,,62 . 2,37 . 8,,,,
,13 . 1  8 6 . 9 38 . 9,61 . 1,,113 0,,,62 . 2,37 . 8,,,,
,26 . 7 73 . 3 44 . 2,55 .8,,1555,,,56 . 4,45.6,,,,
,24 . 5  7 5 . 5  36 . 9,63 . 1,,1665,,,55 . 7,44.3,,,,
,9 . 8  90 . 2  2 6 . 6,7 3 . 4,,925,,,3 1 . 2,68 .8,,,,
,18 . 3  81 .  7 28. 7,7 1 . 3,,1235,,,29 . 2,7 0.8,,,,
e,compiler has recalculated the data,to g ive  the,,,,following values:,,,,,,
,,,+,,,,,,,,,
,H/04,K,,,,NH:,,,,,solid,
mass%,mol/kg mass% mol/kg,mass%,,mol/kg,,mass%,mol/kg,,,,phase,
3.2 5,"0 . 45 14 . 47 5 , 54",1 . 38,,"0 , 48",,7 . 3 2,5 . 52,73 . 55,,,A +,B
3 . 33,"o . 47 14 . 63 5 , 66",2 . 11,,0 . 74,,7 . 08,5.39,7 2 .82,,,"""",
3 . 53,0 . 50 14 . 67 5 . 74,3 . 15,,1 . 11,,6 . 66,5 . 13,7 1 . 96,,,"""",
3 .80,0.55 14 . 96 5.98,4 . 39,,1 . 59,,6 . 28,4 . 94,7 0 . 54,,,"""",
4 . 00,0 . 59 15.3 6  6 . 2 6,5 .32,,1 . 9 6,,6 . 10,4 .8 9,69 . 19,,,C,
3 . 64,0 . 53 14 . 74 5 . 88,5 . 28,,1 . 91,,5 . 73,4 . 50,7 0.58,,,D +,E
3.57,0 . 51 14 . 44 5 . 74,5.67,,2 . 04,,5.39,4.21,7 0.91,,,"""",
2 . 63,"0 , 3 6  11 . 86 4.52",9 . 41,,3 . 2 5,,2 . 17,1 . 63,73 . 90,,,"""",
2 . 39,"0 . 3 2 10.48 3 , 9 1",10 . 74,,3.63,,0 .82,0 . 60,7 5 . 54,,,"""",
2 . 17,"0 , 29 10 . 10 3 . 73",10 .81,,3 . 62,,0 . 55,0 . 40,7 6.34,,,I I,
1 . 63,0 . 23 1 5 . 99  6 . 33,5 . 15,,1 . 8 5,,6 . 05,4 . 7 2,7 1 . 15,,,D +,F
aT,"he solid phases are : A = ""NH4Cl"" ;","B ""'","""NH4H2Po4"" ;",,,C = t ernary,,eutec t ic,,po int ;,,
,"D = ""KCl"" ; E = ""KH/0 F 4 1 1 ; = ""NH4Cl"" ,",,,These,,have the same meaning,,,as,in,the,
,"table on the preced ing page ,",,,,,,,,,,,
3,"b .54 0 , 49 11.94 4.59",8 . 43,,2 . 94,,"2 ,84","2 , 1 5",73.23,,,G,
11 . 23,1 . 50 4.84 1.7 7,4 .8 5,,1 . 61,,2 . 3 1,1 . 66,7 6 . 65,,,,
8 . 48,1 . 11 6 . 07 2 . 18,4 . 60,,1 . 50,,2.54,1 .80,78 . 28,,,,
7 . 80,1 . 04 7.56 2.7 8,4 . 90,,1 . 63,,3 . 03,2 . 19,7 6 . 68,,,,
7 . 3 0,0 . 9 6 7 . 15 2 . 58,4 . 68,,1 . 53,,2.83,2 . 01,78 . 02,,,,
6 . 8 6,"0.9 6 10 . 22 · 3 , 93",5 . 74,,2 . 00,,3 .82,"2 ,89",73 . 34,,,,
4 . 65,0 . 64 11 . 28 4 . 27,"5 , 56",,1 . 91,,4 . 03,3 . 00,74 . 46,,,,
7 . 21,"0 , 95 7 . 23 2 . 61",4 .81,,1 . 57,,"2 ,80",1 . 99,7 7.,,93,,
6 . 31,"0 . 81 7 . 12 2 , 51",3 . 83,,1 . 23,,3 . 02,2.10,7 9 . 69,,,,
4 . 10,0 . 58 13 .81 5 . 4 1,4 . 49,,1.59,,5 . 7 1,4 . 40,7 1 .88,,,,
6 . 05,0 .8 2 9 .88 3 . 67,3.82,,1 . 29,,4 . 38,3 . 20,7 5 . 84,,,,
