0,1,2,3,4
no,mol/kg,mol/kg,mol/kg,mol/kg
1,6 . 15,4 . 09,6 . 19,2 . 58
2,8 . 11,2 . 48,6 . 82,2 . 40
3,10 . 82,1 . 68,8 . 12,2 . 7 3
4,"9 , 81",1 . 65,7 . 5 1,2 . 37
5,10 . 24,1 . 99,8 . 18,3 . 65
6,"10 , 32",1 . 52,8 . 29,3 . 28
7,9 . 20,1 . 65,8 . 44,1 . 92
8,"9 , 38",2 . 12,8 . 83,1 . 89
9,9 . 58,1 . 65,8 . 65,1 .  75
10,5 . 69,4 . 63,6 . 4 3,3 . 26
11,8 . 17,2 . 79,7 . 20,3.40
12,8 . 98,2 . 35,7 . 5 7,3 . 48
13,5 . 11,3 . 8 9,7 . 64,1 . 30
14,5 . 42,4 . 32,8 . 1 7,1 . 16
15,8 . 94,5 . 9 7,10 . 01,1 . 1 7
16,6 . 70,5 . 98,8 . 68,1 . 04
17,4 . 64,6 . 85,6 . 72,2 . 00
18,1 . 9 1,8 . 04,6 . 38,1 . 9 7
19,1 . 68,8 . 19,6 . 75,0 . 83
20,1 . 54,8 . 75,7 . 55,1 . 05
21,1 . 85,8 . 14,7 . 41,1 . 19
22,3 . 78,4 . 84,7 . 35,1 . 10
23,5 . 19,5 . 00,8 . 2 1,0 . 35
24,"5 , 7 3",5 . 08,8 .  70,1 . 4 2
25,"4 , 16",3 . 36,7 . 17,0 . 88
26,----,0 . 88,0 . 87,0 . 87
2 7,----,2 . 93,1 . 9 7,1 . 9 7
28,----,10 . 38,5 . 74,5 . 74
2 9,----,9 . 64,4 . 09,4 . 09
