0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Na2o,P02,o5,Na 2 o/P,2,,,o5,Na2HP04 a,,,NaOH a,,Na2o/P 2,,5.0
mass%,mass%,,mol,ratio,,,,mass% mol /kg,,,mass%,mol/kg,mol ratio,,
,,,,,,,,temp = 5 73,K,,,,,,
1 .  70,0 . 43,,9 . 05,,,,,0 . 86 0 . 062,,,1 . 71,0 . 44,2 .82,,
1. 40,0 . 60,,5 . 34,,,,,1.20 0 . 086,,,1 . 13,0 . 29,2 . 81,,
1 . 62,1 . 32,,2 . 80,,,,,2 . 64 0 . 19,,,0 . 60,0 . 16,2 . 7 3,,
2 . 00,1.97,,2 . 33,,,,,3 . 34 0 . 24,,,0 . 70,0 . 18,"2 , 76",,
"2 , 2 9","2 , 43",,2 . 15,,,,,4.87 0 . 36,,,0 . 22,0.056,2 . 75,,
3 . 36,3 . 59,,2 . 14,,,,,"7 . 19 0 , 55",,,0 . 29,0 . 078,2 . 76,,
3.36,3 . 59,,2 . 14,,,,,7 . 19 0 . 55,,,0.29,0.078,2 . 66,,
,,,,,,,,temp = 5 24,K,,,,,,
6 . 51,2 . 15,,6 . 94,,,,,4.31 0 . 34,,,5 . 98,1 . 67,2 . 75,,
4 . 55,3 . 15,,3 . 31,,,,,"6.31 0 , 48",,,2 . 32,0 . 64,2 . 68,,
"10 , 5",9 . 99,,"2 , 41",,,,,20 . 01 1 . 81,,,2.29,o .  74,2 . 64,,
