0,1,2,3,4,5,6,7,8,9,10,11
61 . 16,13 . 12,100,----,"---- ' 38 , 84",,1 . 574,"17 . 784 NaH ;,o",,,·H,0.0
56 . 70,12 .19,"89,93",4 . 5 6,1 . 38 38 . 74,,1 . 57 5,15 . 7 86 2,,4.0,2,
54 .16,11.41,. 85 . 91,6 . 29,1 . 88 39 . 55,,1 . 575,"14 . 17 "" 2",,,,
52 '. 69,11 . 22,82 . 01,8 . 19,2 . 4 6 3 9.12,,1 . 574,"1 "" 2 .4 21",,,,
43 . 92,9 . 2 9,65 . 10,1 6 . 68,"4 . 98 3 9 , 40",,1.578,"9 , 850 """,,,,
37 . 21,"7 , 7 9","53 , 40","23 , 00","6 , 80 39 , 79",,1 . 578,"9 ,810 """,,,,
"32 , 75","6 , 88","45 , 63",27 . 60,"8 . 18 39 , 65",,"1 , 57 9","9 , 7 95 C. eutonic pt .",,,,
"32,75","6 , 89","43 , 63","27 , 64","8 , 21 39,61",,1 . 57 9,"9 , 795 """,,,,
30 . 70,"6,24",43 . 45,28 . 3 0,8.12 41 . 00,,1 . 532,5 .4 99  Na!o,,,,
25 . 37,4 . 97,35 . 89,3 2.10,8 . 88 42 . 53,,"1 , 513",4 . 213,,3.0,,
19 . 15,3 . 55,27 .39,35 . 9 6,9 .42 44 . 89,,1 . 486,"2 . 982 """,,,,
1 7 .88,3.31,25 .4 7,37 . 06,"9 . "" 6 8 4 5 . 06",,1.482,2.873,,,,
"11 , 60",2.11,16 . 19,"42 , 51",10 . 90  45.89,,1 . 445,"1 .  7 78 """,,,,
-4--. 1--0,"--0-, -72-","-5-,-6--2","48 , 67 46.80","12 . 12 13 , 37 47 , 23 46.80",,1 .43 7 1 . 4 29,"1 . 571 1 . 43 "" 6 """,,,,
