0,1,2,3,4,5,6,7,8,9,10
1.0,9 1 . 54,89.68,633.0,,A +,C,,,,
,81.09,9 0 . 22,534 . 2,,I I,,,,,
3.0,67 . 2 5,90 . 20,4 58 . 7,,I I,,,,,
4.0,6 1.59,9 0 . 47,437. 2,,I I,,,,,
5.0,56 . 26,90.87,390 . 7,,I I,,,,,
6.0,52 . 3 3,9 0 . 87,28 5 . 5,,I I,,,,,
7.0,47.09,"92 , 09",285.5,,I I,,,,,
8.0,42.68,92 . 44,260 . 3,,I I,,,,,
9.0,4 0 . 89,93 . 02,244 . 5,,I I,,,,,
10.0,39 . 25,92 . 14,217.1,,I I,,,,,
11.0,37  . 10,9 3.42,192.9,A,+ B +,,,,,
12.0,38 . 9 5,100 . 0,208 . 2,,A +,B,,,,
13.0,3 7 . 98,98 . 25,19 3 . 8,,I I,,,,,
14.0,3 7 . 81,"9 5 , 99",193.0,,I I,,,,,
15.0,16 . 57,0 . 00,365 . 9,,C +,E,,,,
16.0,14 . 29,18 . 01,283 . 0,,I I,,,,,
17.0,13 . 88,27 . 98,292 . 4,,I I,,,,,
18.0,14 . 9 3,3 7 . 85,280.3,,I I,,,,,
19.0,16 . 88,42 . 92,27 6 . 1,B +,C,+,,E,,
20.0,16 . 9 9,47 . 60,24 5 . 9,,B +,C,,,,
21.0,20 . 6 6,59 . 33,238 . 0,,I I,,,,,
22.0,25.22,7 6 . 4 5,219.8,,I I,,,,,
23.0,33.67,9 0.92,208 . 2,,I I,,,(continued,next,page)
