0,1,2,3,4,5,6
,,+ K,N03 H20,,,solid b
soln .,no .,ion%,ion% cone . a,,,phases
,,,temp. = 323 K,,,
24,,"0 , 00",3 8 . 43 373. 1,,,B + E
25,,"5 , 59","40 , 8 9  318 , 0",,,I I
26,,11 . 35,41 . 33 291.7,,,I I
,,,"temp , • 348 K",,,
27,,100 . 00,"95 , 31 373 . 4",,,A +  C
28,,85 . 49,"94 , 68 302 , 1",,,""""
29,,74 . 33,"94,36 271.4",,,""""
30,,64 . 7 3,94 . 37 227 . 0,,,""""
31,,"5 5 , 08","94 , 30 193 . 5",,,""""
32,,"4 6 , 39",94 . 17 165 . 3,,,""""
33,,47 . 01,"100 , 0  149 , 0",,,A +  B
34,,46 . 13,"9 6 ,  73 148 . 0",,,I I
35,,44 . 62,"9 4 , 04 147 . 4",,A,+ B + C
36,,42 . 98,"92 , 94 156 . 2",,,B + C
37,,40.83,"9 0 , 53 178.0",,,
38,,"3 6 , 91",8 5 . 19 192 . 5,,,
39,,34 . 44,"82 , 00 201 . 4",,,
40,,31 . 00,"7 5 , 19 206 . 2",,,
41,,"25 , 11","64 , 3 0 211 . 7",,,
42,,21 . 83,5 5 . 68 219 . 8,,,
43,,"20 , 91",47 . 29 226 . 3,,,
44,,29 . 06,40.92 234 . 0,,B,+ + D
45,,20 . 05,38 . 47 243 . 5,,,C + D
46,,"21 , 31","29 , 19 258 . 7",,,I I
47,,21 . 28,"19 , 44 266.0",,,I I
48,,21. 70,"11 , 09 27 6 , 4",,,""""
49,,20 . 52,"0 , 00 289 . 1",,,""""
50,,o . oo,51 . 14 267 . 2,,,B + D
51,,5 . 31,"5 0 , 00 256 . 0",,,I I
52,,11 . 15,45 . 9 6  247 . 3,,,I I
53,,15.31,"44 . 9 6  239 , 5",,,""""
,,,"temp , • 373 K",,,
54,,"100 , 00","97 , 08 24 5 . 0",,,A +  C
55,,9 9.68,97.08 213 . 2,,,I I
56,,83 . 91,"96 , 83 191 . 7",,,I I
57,,7 0 . 53,95 . 3 5  176 .3,,,I I
58,,6 0 . 8 5,9 5 . 18 142.8,,,I I
59,,52 . 9 5,95 . 03 113 . 5,,,""""
60,,51 . 90,100.0 9 5 . 7,,,A + B
61,,51 .32,97 . 7 5 93.0,,,I I
62,,"50, 35","94,97 92 . 4",,A,+ B + C
63,,49 . 02,9 1.24 94 . 6,,,B + C
64,,47 . 52,82 . 8 5  112 . 5,,,
65,,45 . 01,74 . 71  117 . 8,,,
66,,42 . 46,63 . 7 6  130 . 0,,,
6 7,,36 .87,"54 , 88 139 . 5",,,
68,,33 . 82,"47 , 00 147.0",,,
69,,31 . 22,44 . 73 156 . 3,,,
70,,29 . 53,42 . 27 161 . 5,,B +,+ D
71,,29 . 01,38.09 164 . 0,,,C + D
72,,28 . 03,34 . 04 17 6 . 2,,,""""
7 3,,25 . 7 8,28 . 26 181 . 4,,,""""
7 4,,23 . 45,18 . 88 189.0,,,""""
7 5,,25 . 43,"5 , 30 196 . 1",,,I I
7 6,,25 . 44,o . oo 205 . 0,,,I I
