0,1,2,3,4,5,6,7,8,9
8 . 3,7 . 3 1,2 . 08,2 . 7,2 . 38 0 . 16,,2 . 6,2 . 29,0 . 18,88 . 03
8 . 4,7 . 40,2 . 10,4 . 9,4 . 32 0 . 3 0,,0 . 2,0 . 18,0 . 01,88 . 10
2 0 . 0,12 . 8 6,s . oo,2.7,1 .  7 4  0 . 16,,32 . 8,21 . 09,2 . 3 1,64 . 31
19 . 8,12 . 74,4 . 95,2 . 8,1 . 80 0 . 17,,32 . 8,21.11,2 . 3 1,64 . 3 5
20 . 0,12 . 93,5 . 00,2 . 9,1 . 87 0 . 18,,31 . 8 c,,,
20 . 6,13 . 7 9,5 . 15,2 . 7,1 . 81 0 . 16,,26 . 1  .,20 . 56 1 7 . 4 7,2 . 24 1 . 84,6 4  . 64 66 . 93
20.s,14.52,5.12,2 . 7,1.91 0 . 1 6,,18 . 0,12 . 7 5,1 . 2 7,7 0 . 82
20 . 7,1 5 . 4 0,5 . 17,2 . 7,2 . 01 0 . 16,,11.Q,8 . 17,0 . 78,7 4 . 40
20 . 6,15 . 98,5 . 1 5,2 . 7,2 . 09 0 . 16,,5 . 6 C,4 . 34,0 . 39,7 7  . 58
,,,,t emp .  = 3 50 ° C,,,,,
8 . Q,6.17,2.00,0 . 6,0 . 4 6  0 . 04,,,16 . 20,1 . 48,7 7 . 1 6
8 . Q,6 . 17,2 . 00,0 . 6,0 . 4 6  0 . 04,,,1 6 . 20,1 . 48,7 7 . 1 6
8 . Q,6 . 23,2 . 00,Q . 4,0.31 0 . 02,,,1 5 . 58,1 . 4 1,7 7  . 88
8 . Q,6 . 55,2 . 00,0.4,0.33 0 . 02,,,11 . 29,0 . 9 7,81 . 83
8.Q,7 . 02,2 . 00,0 . 3,0 . 26 0 . 02,,,s . oo,0 . 40,87.72
8 . 4,7 . 4 6,2 . 10,0 . 3,Q . 27 0 . 02,,,3 . 4 6,0 . 27,88 . 8 1
8.Q,7 . 26,2 . 00,0 . 3,Q . 27 0 . 02,,,1 . 7 2,0 . 13,90 . 74
21 . 0,11 . 8 5,5 . 25,1.9,1 . 07 0 . 12,,,30 . 64,3 . 82,56 . 4 3
21 . 0,11 . 7 3,5 . 25,2.6,1 . 4 5  Q . 16,,,3 0 . 95,3 . 90,55 . 8 6
21 . 0,11 . 71,5 . 25,2 . 7,1 .  s o  0 . 16,,,31 . 0l,3 . 91,55 . 7 7
21.0,11.84,5 . 25,3 . 1,1 . 7 5  0 . 19,,,30 . 04,3 . 7 5,56 . 37
21 . 3,12 . 52,5.3 3,2 . 2,1.29 0.13,,,27 . 4 0,3 . 28,58 . 7 9
21.0,13 . 60,5 . 25,1 .  8,1 . 1 6 0.11,,,20 . 4 7,2 . 22,64 . 77
21 . 0,14 . 72,5 . 25,1 . 4,0.98 0 . 08,,,14 . 22,1 . 43,7 0 . 0!.l
21 . 0,1 5 . 61,5 . 2 5,1 . 2,Q . 89 0 . 07,,,9 . i4,0 . 8 6,74 . 3 5
21 . 0,1 6 . 63,5 . 2 5,1.0,0 . 7 9 Q . 06,,,3 . 4 0,C . 3 0,7 9 . 18
21 . 0,17 . 06,5.25,1 . 4,1 . 14 0 . 08,,,0 . 57,o . os,81 . 23
