0,1,2,3,4,5,6,7
0 0,0,0,,0,0,0,ice
"3 , 337 0 . 2 7",1 . 94,0 . 147,,1 . 40,0.147,-0 . 6,""""
8 . 8 24 0 . 69,4 .82,0 .385,,3 . 47,0.385,-1 . 7,I I
12 . 13 1 . 05,7 . 05,0 . 58 9,,5 . 08,0 . 589,-2 . 5,I I
"20 , 5 0  1 . 94",11.92,1 . 101,,8.58,1.101,-5 . 7,
29 . 43 3 . 11,17 . 11,1.  781,,12.32,1 . 781,-6 . 7,""""
36 . 98 4 . 32,21 . 50,2 . 506,,15.48,2.506,-9 . 2,I I
45 . 80 6 . 10,2 6 . 63,3 . 609,,"19 , 17","3 , 609","""-0",
"50 , 33 7.21",29.26,4 . 328,,21.07,4 . 328,10.9,
68 . 44 14 . 30,39 . 79,9 . 263,,"28 , 65",9 . 2 63,6 5 . 2,
7 2 . 43 16 . 81,42 . 11,11 . 222,,30 . 32,11 . 222,78 . 0,
7 7 . 60 2 1 . 05,45 . 11,14. 7 98,,"32 , 48",14 . 7 98,87.5,
85 . 88 31 . 8 6,49 . 93,2 5 . 981,,3 5 . 95,25 . 98 1,105 . 5,
92 . 18 47 . 57,53 . 59,5 0 . 353,,3 8 . 59,50 .353,12 0 . 0,
9 5 . 73 63 . 31,55 . 65,95 . 7 67,,40 . 07,9 5 . 67 6,134 . 5,
9 6 . 10 65 . 47,5 5 . 8 7,100,,40 . 22,100,135 . 0,
98 . 8 5  88 . 88,5 7 . 47,100,,41 . 3 9,100,137.5,
100 100,58 . 14,,,41.8 6,,13 9 . 0,
aThese values were calculated,,,by the,comp iler .,,,
