0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
KHlo4 c. mass% mol/ kg,a,,KN0 mass%,3.0,mol/kg,a,,H mass% 2 0,,,a,,b.p . / ° C,-lg,b N,,solidphase
52 . 7  8 . 18,,,0,,0,,,47.3,,,,,105.l,,,,A
"47 , 3  6 . 96",,,2.8,,0 . 555,,,49.9,,,,,105 . 1,0 . 05 64,,,I I
46.2 6.7 8,,,3 .7,,0.73 0,,,50.1,,,,,105 . 1,0 . 049 5,,,I I
42 . 6  6 . 20,,,6 . 9,,1.3 5,,,50 . 5,,,,,105 . 5,0 . 0560,,,I I
41 . 4  6.08,,,8.6,,1 . 7 0,,,50 . 0,,,,,105 . 5,0 . 0570,,,I I
37 .8 5 . 63,,,12.9,,2.59,,,49 . 3,,,,,106 . 0,0.0603,,,I I
3 5 . 5 5 . 3 2,,,1 5 . S,,3.13,,,49.0,,,,,106.4,0 . 0610,,,I I
32 . 1  4 . 7 9,,,18 . 7,,3 . 7 6,,,49 . 2,,,,,106 . 9,0.0623,,,I I
32 . 5 4.91,,,18 . 9,,3.85,,,48 . 6,,,,,106.5,0.0618,,,I I
3 0 . 6  4 . 7 2,,,21 . 8,,4 . 53,,,47 . 6,,,,,106.9,0.0623,,,I I
29 . 8  5 . 10,,,2 7 . 3,,6 . 29,,,4 2.9,,,,,107 . 2,0 . 0717,,,A + B
2 6 . 4 4 . 47,,,30 . 2,,6.88,,,43.4,,,,,107 . 7,0 . 082 6,,,
24 . S 4.10,,,3 1 . 6,,7.12,,,43.9,,,,,107.9,0.073 6,,,I I
23 . 7 3 . 93,,,32.0,,7 . 14,,,44 . 3,,,,,106 . 7,0 . 0801,,,I I
22 . 2  3.61,,,3 2 . 7,,7 . 18,,,4 5 . 1,,,,,107.2,0 . 078 1,,,I I
21 . 2 3 . 57,,,3 5.2,,7 . 9 9,,,43.6,,,,,107 . 2,,,,I I
1 5 . 7  2 . 86,,,43 . 9,,10. 7 5,,,40.4,,,,,108.7,0.0880,,,I I
1 5.0 2.83,,,46 . 0,,11 . 67,,,3 9 . 0,,,,,109.2,0 . 1016,,,I I
14 . 8  2 . 86,,,47.0,,12 . 17,,,38 . 2,,,,,109.2,0.1016,,,I I
12.3 2 . 4 5,,,51.1,,13 . 8 1,,,3 6 . 6,,,,,109 . 9,0 . 1077,,,I I
11 . 7 2.3 6,,,51 . 8,,14 . 04,,,3 6.5,,,,,110.0,0 . 112 5,,,I I
10 . 5  2.20,,,54 . S,,15 . 40,,,3 5 . 0,,,,,110 . 2,0.1134,,,I I
8 . 1 1 . 94,,,61.2,,19. 7 1,,,30 . 7,,,,,112 . 8,0 . 1258,,,I I
7 . 7  2.00,,,"64 , 0",,22.37,,,28.3,,,,,11 5 . l,0.1438,,,I I
