0,1,2,3,4,5,6,7,8,9,10,11,12
22  10 . 70 28.9 0,60.40,23 . 3 9,,85 . 14,21.55,9 20.1,,1 . 30,4 . 7 3,,A,
23 7 .84 3 6 . 80,55.3 6,18 . 7 2,,115 . 8 6,13.92,742 . 8,,1.04,6 . 58,,"""",
24  7 . 54 38 . 90,53 . 56,18.61,,129 . 42,12 . 58,67 5 . 5,,1.03,7 . 18,,"""",
"2 5  7.44 3 9 , 41",53.15,18.52,,"132 , 11",12 . 30,6 63.7,,0.96,7 . 34,A,+,B
"26 6 , 98 3 9 . 63","53 , 3 9",1 7 . 30,,132 . 29,11 . 56,"668 , 5",,1 . 03,7 . 3 3,,"""",
"27 5 , 60 41 . 06","53 , 34",13.86,,137 . 18,9 . 18,"662 , 0",,0 . 7 7,7 . 61,,B,
28 5.16 41 . 48,53 . 3 6,12 . 7 9,,138 . 5 1,8 . 45,661 . 0,,0.7 1,7.69,,"""",
29 4 . 50 42 . 28,53.22,11.16,,141 . 8 2,7 . 31,654 . 7,,0.62,7 . 8 6,,"""",
30 0 46 . 2 5,53 . 7 5,0,,1 53 . 3 5,0,652 . 1,,0,8 . 51,,I I,
aThe concentrat ion un it,is :,mol / 1000 mol,,water .,,,,,,,,
bThe concentrat ion unit,is :,mol / 100 mol of,,solute.,,,,,,,,
C These mol/ kg H 0 values,were,calculated,,by the comp iler .,,,,,,,,
d 2,,,,,,,,,,,,
The so l id phases are :  A,=,Kll/0 . 4 ; B,=,KN0 3,,,,,,,,
The phys ical proper ties,of,the above,solu t ions,,are  g iven,below.,,,,,,
no v iscos ity/cP,d ensity/ g  cm -3,,,r:. /S  cm-l,,,,,,,,
1 1 . 7 22,1 . 1 56,,,0 . 100,,,,,,,,
2 1.325,1.160,,,0 . 110,,,,,,,,
3 1.281,1.169,,,0 . 115,,,,,,,,
4 1.285,1.184,,,0 . 120,,,,,,,,
5 1.277,1 . 189,,,0 . 130,,,,,,,,
6 1 . 2 7 6,1.203,,,0 . 135,,,,,,,,
7 1 . 278,1.212,,,0 . 140,,,,,,,,
"8 1 , 280",1 . 2 22,,,0 . 143,,,,,,,,
9 1 . 29 9,"1 , 23 0",,,0 . 145,,,,,,,,
10 1 . 299,1 . 231,,,0 . 145,,,,,,,,
11  1.237,1 . 220,,,0 . 147,,,,,,,,
1 2  1.189,1 . 212,,,0 . 150,,,,,,,,
13 1 . 051,1.197,,,0 . 155,,,,,,,,
14 1.487,1 . 2 25,,,1 . 05,,,,,,,,
1 5  1.301,"1 , 234",,,1 . 10,,,,,,,,
1 6  1 . 11 9,1 . 2 36,,,1 . 15,,,,,,,,
17 1.117,1.243,,,1 . 1 5,,,,,,,,
18 1 . 1 16,1.247,,,1 . 2 5,,,,,,,,
19 1 . 115,1 . 264,,,1 .40,,,,,,,,
20  1 . 115,1 . 27 1,,,1.45,,,,,,,,
21  1.115,1 . 287,,,1 . 50,,,,,,,,
22  1.116,1 . 302,,,1 . 60,,,,,,,,
23 1.117,1 . 3 29,,,1.90,,,,,,,,
24 1 . 118,1 . 33 5,,,2.05,,,,,,,,
25 1.119,1 . 340,,,2.15,,,,,,,,
2 6  1.119,1 . 3 39,,,2.15,,,,,,,,
2 7  1.117,1 . 332,,,2 . 10,,,,,,,,
28 1 . 112,1 . 3 31,,,2 . 05,,,,,,,,
29 1 . 11 2,1.330,,,1 . 9 9,,,,,,,,
30 1 . 050,1.325,,,1 . 9 5,,,,,,,,
