0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,K,(C 3N 2 H,) 5,,,,u 2 o,,,KH /,0,a 4,,,(C 2 H,5.0,),,,3 NH,Po 3,4.0,a,,,solid
t; •c .,d g d cm,-3,,b concn,concn,b,,,,c M,,,mass%,mol/kg,,,,mass%,,,,,,mol/kg,,,,,phase
20,,,,"0 , 1124",0 . 04 17,,,,,1201 . 1,,,4 .49,,1 . 12,,,7 .32,,,,,,0 .41,,,,,A
20,,,,0 . 0765,0 . 0896,,,,,1113 . 9,,,2 .8 6,,0 . 7 6,,,14.7 1,,,,,,0 .8 9,,,,,I I
20,,,,0 . 0602,0 . 1839,,,,,7 58 . 0,,,1 . 95,,0 . 60,,,2 6 . 28,,,,,,1 .83,,,,,I I
20,1 . 118,,,0 . 0664,0 . 3391,,,,,4 56 . 6,,,"1 , 7 6",,0 . 6 6,,,39 . 60,,,,,,3 .39,,,,,I I
20,1 . 144,,,0.07 98,0 . 5540,,,,,292 . 1,,,1.69,,0 .7 9,,,51.57,,,,,,5 . 54,,,,,I I
20,1 . 205,,,"0 ,3719",3 . 4538,,,,,48 . 4,,,2.00,,3 . 7 1,,,85 .48,,,,,,34 . 53,,,,,A + B
40,,,,0 . 1623,"0 , 0746",,,,,781 . 1,,,"6 , 02",,"1 , 6 2",,,12 .15,,,,,,0 . 74,,,,,A
40,,,,0 . 1045,"0 , 24 27",,,,,"533 ,3",,,3 . 09,,1 . 04,,,3 1 . 58,,,,,,"2 , 42",,,,,I I
40,,,,"0 , 1026","0 ,3534",,,,,406 . 9,,,2 . 65,,1 . 02,,,"40 , 21",,,,,,3 . 53,,,,,I I
40,1 . 1311,,,0 . 1096,0 . 4039,,,,,360.6,,,2 . 68,,1 . 09,,,43 . 3 9,,,,,,4 . 03,,,,,I I
40,1 . 229,,,0 . 67 78,4 . 6127,,,,,3 5 . 0,,,2 . 9 2,,6.7 7,,,87 . 54,,,,,,4 6 . 12,,,,,A +  B
60,1 .181,,,0 . 2559,0 . 07 6 2,,,,,557.5,,,9.15,,2 . 5 5,,,11 . 97,,,,,,0 . 7 6,,,,,A
60,,,,0 . 2415,0 . 0894,,,,,559 . 5,,,8 . 50,,2 .4 1,,,13 .83,,,,,,"0 ,89",,,,,I I
60,1 . 138,,,"0 , 1800","0 , 2251",,,,,457 . 0,,,5.33,,1 .8 0,,,"29 , 3 0",,,,,,"2 , 2 5",,,,,I I
60,,,,0 . 2434,"1 ,127 1",,,,,135 . 1,,,3 . 29,,"2 , 43",,,6 6.90,,,,,,"11 , 27",,,,,I I
60,,,,0 . 9418,"5 , 6949",,,,,"27 , 9",,,3 . 3 4,,9 . 41,,,88.82,,,,,,5 6 . 94,,,,,A + B
80,1 . 221,,,0 .3778,"0 , 0963",,,,,3 90 . 5,,,"12 , 57",,3 . 77,,,14 . 07,,,,,,0 . 9 6,,,,,A
80,1 . 197,,,"0 , 3 3 61",0 .1694,,,,,3 6 6 . 3,,,10 . 23,,3 .3 6,,,22 . 64,,,,,,1 . 69,,,,,""""
80,,,,0 . 2459,0 . 5914,,,,,2 2 1 . 2,,,4 .87,,2 .45,,,51 .45,,,,,,5 . 91,,,,,I I
a bThese values,,,,were calculated,,,,by,,the compiler .,,,,,,,,,,,,,,,,,,,
CThe concentration unit,,,,,is : equiv/100 g,,,,,,,,water .,,,,,,,,,,,,,,,,
dThe concentration unit,,,,,is : mol/ 100,,,,,equiv,,,of solute.,,,,,,,,,,,,,,,,
The,solid,phases,,are:,A • K H,Po2,,Po4 ;,,B •,,,( (C H2 5 ) 3 ) NH,3,4 •,,,,,,,,,,,,,,
