0,1,2,3,4
b mass% mol/kg11,mass%,mol/kl,mass%,phase
---- ----,36 . 24,"4 , 30",63 . 76,A
7 . 94 0 . 7 5,31 . 93,"4 , 02",60 . 13,""""
15 . 66 1.61,28 . 60,"3 ,88",55 . 74,""""
17 .82 1.86,27.36,"3 ,  7 7",54 . 8 2,""""
29 . 34 3.41,2 1 . 39,"3 , 28",49 . 2 7,I I
38 . 35 5 . 02,1 7 .86,"3 , 08",43.7 9,I I
43.74 6.08,15 . 01,"2 , 7 5  '1",41 . 25,""""
48 . 90 7 . 74,14 .87,"3, 10",36 . 23,A + B
48 . 58 7.58,14 . 66,"3,01",36.76,
48 . 52  6 . 61,9 . 35,1 . 68,42 . 12,I I
48 . 14 6 . 05,6 . 2 2,1 . 03,45 . 64,I I
47 . 64 45.72 4 . 83  5.72,4 . 59 -----,0--. 7--2,47.7 7  54 . 28,""" I I"
