0,1,2,3,4,5,6,7,8
mass% mol/kg,mass%,mol/kg,mass% mol /kg,,mass%,t/ 0c .,,
4 5 . 7 4 . 8,----,----,----,,"---- 54 ,3",2,,
44 . 0  4 .8,2 . 57,0 . 4,1 .10,,"0 . 2  52,3",-2,,
"42 . 5  4 , 8",4 . 9 6,0 .8,2 .12,,0 .3 50 . 4,-5,,
41.0 4 .8,7 . 19,1 .3,3 . 07,,0 . 5  48 . 7,-8,,
"39,7 4 . 8",9 . 2 7,1. 7,3 . 9 6,,0 . 6  4 7 . 1,-11,,
39 . 0  4 .8,10 . 3,1 . 9,4 . 38,,0 . 7 4 6 .3,-13,,
38 . 4  4 . 8,11.2,2 .1,4 . 7 9,,0 .8 45 . 6,6,,
37 . 8  4.8,"12,1","2 , 4","5,19",,0 . 9  44 . 9,10,,
"50 .8  5 , 9",----,----,----,,"---- 49 , 2",8,,
48 . 5  5 . 9,"3,19",0 . 6,1 .36,,"0,2 47 . 0",4,,
47 . 7 5 . 9,4 . 19,0.8,1 . 7 9,,0 .3 46 .3,2,,
46.3 5 . 9,6 . 10,1 . 2,2.61,,0.4 44 . 9,-0 . 5,,
45 . 0 5 . 9,7 . 91,1 . 6,3 .38,,0 . 6  43 . 7,-3,,
44 . 4  5 . 9,8.7 8,1 . 8,3 . 7 5,,0 . 7 43 . 1,"-3 , 5",,
43 .8  5 . 9,9 . 62,"2 , 0",4 .11,,0.7 42 . 5,-5,,
43 . 2  5 . 9,10 . 4,2 . 2,4 . 46,,"0 ,8 41.9",7,,
"42 , 6  5 , 9","11 , 2",2 . 4,4 .80,,0 . 9  41.3,"13,5",,
"55 . 8 7 , 3",----,----,----,,---- 44 . 2,13,,
"53 , 8  7 . 3",2 . 58,0 . 5,1 .10,,0 . 2  4 2 . 5,10 . 5,,
51 . 9  7 . 3,4 . 98,1.1,2 .12,,0 . 4 41 . 0,9,,
50 . l  7 .3,7 . 21,1 . 6,3 . 08,,O . b  39 . 6,4 . 5,,
49 . 2  7 . 3,8 . 27,1 .8,3 . 53,,0 . 7 38 . 9,8,,
48 . 4  7 . 3,"9 , 30","2 ,1",3.97,,"0,8 38 . 3",1 2,,
"47 .3  5 , 2",----,----,----,,"---- 52,7",3,,
41 . 3  5 . 2,8 . 94,1 .  7,3 . 8 2,,0 . 6  45 . 9,-8 . 5,,
"40 , 5  5.2",10 . 1,1 . 9,4 .31,,0 . 7 45.1,-10,,
"39 . 3  5 , 2",11 . 8,2 .3,5 . 05,,0 . 9  43 .8,11 . 5,,
"54 , 1  6 . 8",----,-;--,----,,---- 45 . 9,12,,
"48.3 6 ,8",7 . 44,1 . 6,3 .17,,"0 , 6  41 . 0",1 . 7,,
47 . 5  6.8,8 . 55,1 .8,"3 , 65",,"0 . 7 40 ,3",0,,
"54 . 9  8 , 3","5 , 11","1 , 2",2 .18,,0 . 4 3 7 .8,10,,
3. Graphically d erived,,solub ility,isotherms in the NH4Hlo4- (NH4) 2HP04-K2HP0,,,,-4,H
system .,,,,,,,,
,a,,,,,,,
authors ' data,,,,,comp iler ' s  r ecalculations,,,
ammonium,,,,,,,,
K 2 HP0 4 phosphates,,K 2 HP0 4,NH 4 Hlo,,4 (NH4),HP0 2 4,"0 ""2",
mass% mass%,,mass% mol /kg,mass%,,mol/kg mass%,mol/kg,mass%,
,,temp .,.. -10° c .,,,,,
0 21,,0,0 14 . 7,,1 . 6 6 . 28,0 . 6,7 9 . 0,
4 5 12 . 25,,"39 , 5",4 . 7  8 . 58,,1 . 5  3 . 66,0 . 6,48 .3,
46.4 14 . 4,,"39 , 7",5 . 0 10 . 1,,1 . 9 4 .31,"0 , 7",45 . 9,
45 14 .85,,"38,3",4 . 7 10 . 4,,"1 , 9  4 . 44",0 . 7,46 . 9,
25  18 . 3,,20 . 4,1 . 9 12 .8,,1 . 8  5 . 47,"0 , 7",62.3,
