0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
K2HP0 phosphates 4 K HP02,,4 NH H4,lo4,,,(NH,,0 4 ),HP0 2,4,,H2,,
mass% mass% mass%,,mol/kg mass%,,mol/kg,,mass%,,,,mol/kg,,mass%,,
temp .,,= -5 ° c .,,,,,,,,,,,,
0 24 . 4 0,,0 17 . 1,,2 . 0,,7.3 0,,,,0 . 7,,7 5 . 6,,
4 5 7 . 1 41.8,,4 . 7  4 . 97,,0 . 8,,2 . 12,,,,0 . 3,,51 . 1,,
4 6 .4  8 . 85  42 . 3,,5 . 0  6 . 20,,1 . 1,,2 . 64,,,,0 . 4,,48 . 9,,
50 . 0  13 . 7 43 . 1,,5 . 7  9 . 59,,1 . 9,,4 . 10,,,,0 . 7,,43 . 2,,
4 5 . 0  15 . 2 38 . 2,,4 . 7  10 . 6,,2 . 0,,4 . 55,,,,0 . 7,,46 . 6,,
2 5 . 0  20 . 9 19 . 8,,1 . 9 14 . 6,,2.1,,6 . 25,,,,0 . 8,,59 . 4,,
39 . 7 5 0 3 9 . 7 5 3 . 8= temp .,,o•c . 0,,0,,0,,,,0,,60 . 25,,
0 26 . 9  0,,u 18 . 8,,2 . 2,,8.05,,,,0 . 8,,73.1,,
4 5 . 0  1 . 8 5  44 . 2,,4 . 7  1 . 29,,0 . 2,,0 . 55,,,,0 . 07,,54 . 0,,
4 6 . 4 3 . 3  44 . 9,,5.0 2 . 31,,0.4,,0 . 98,,,,0 . 1,,51 . 8,,
50 . 0  8 . 55 4 5 . 7,,5 . 7  5 . 99,,1 . 1,,2 . 55,,,,0 . 4,,4 5 . 8,,
53 . 0 12 . 2 5  46 . 5,,6 . 5 8 . 58,,1 . 8,,3 . 66,,,,0 . 7,,40 . 2,,
50 . 0  14 .2 42 . 9,,5 . 7  9 . 94,,2 . 0,,4 . 25,,,,0 . 8,,43 . 0,,
4 5 . 0  15.5 38 . 0,,4 . 7  10 . 9,,2 . 0,,4 . 64,,,,0 . 8,,4 5 . 5,,
2 5 . 0  23 . 3 19 . 2,,1.9 16 . 3,,2 . 5,,6 . 97,,,,0 . 9,,57.5,,
43 . 2 0 43 . 2,,4 . 4 0,,0,,0,,,,0,,56 . 8,,
temp .,,= 1 0° c .,,,,,,,,,,,,
0 3 1 . 65 0,,0 22 . 2,,2 . 8,,9 . 4 7,,,,1 . 0,,68 . 3 5,,
53 . 0  2 . 05 51 . 9,,6.5 1 . 43,,0 . 3,,0 . 61,,,,0.1,,38 . 1,,
55 . 0  4 . 4 52.6,,7 . 0 3 . 08,,0.6,,1.3 1,,,,0 . 2,,43 . 0,,
58 . 0  7 . 3 53 . 8,,7 . 9 5 . 11,,1 . 1,,2 . 18,,,,0 . 4,,38 . 9,,
5 5 . 0  12 . 5 48 .1,,7 . 0 8 . 7 5,,1 . 9,,3 . 7 4,,,,0 . 7,,39 . 4,,
50 . 0  15 . 4 42.3,,5 . 7 ·10 . 8,,2 . 2,,4 . 61,,,,0 . 8,,42.3,,
4 5 . 0  17.3 5 37 . 2,,4 . 7  1 2.2,,2 . 3,,5.2,,,,0.9,,45 . 4,,
2 5 . 0  27 . 4 18 . 2,,1.9 19 . 2,,3 . 1,,8 . 2,,,,1 . 1,,58 . 4,,
52 . 0  0 52.0,,6 . 2 0,,0,,0,,,,0,,48.0,,
The authors state that the equ ilibrium,,solid phases,,ar e NH,,"H Po6 ,",,,KH,Po,and,,,an
unspecif ied double salt . There,,is no mention of,,the degr e4e o2f,,,,hydra7tio4n .,,,,,,
,,,,,,,,,,,,,,
"Concerning the mass% of K HP02 4 ,",,see footnote b under,,,Part 1 .,,,,,,,,,
4 . Solubility in the NH at 4 H 2 Po 4 - (NH,,4 ) 2HP0 4 -K 2 HP0,4,-H 2 o,system,,,o•c .,,,,,,
NH (4 H/04 NH4 ) 2HP04,,K,,HP02 4,,,,n,o 2,,,,,
Nr mass% mol/kga. mass%,,mol/kga. mass%,,mol/kga.,,,,mass%,,,,,,
1 20 . 0  3 . 57 3 1 . 4,,4 . 89 ----,,,----,,,48.6,,,,,,
2 23 . 2 4 . 18  2 5 . 0,,3 . 92 3 . 6,,,0 . 42,,,48 . 2,,,,,,
3 10 . 7  2 . 13 10 . 4,,1 . 81 35 . 4,,,4 . 67,,,43 . 6,,,,,,
4 7 . 5 1 . 68 7 . 2,,1 . 40 46 . 5,,,6 . 88,,,32 . 9,,,,,,
5 6 . 8 1 .  53 7 . 6,,1 . 4 9 4 7 . 0,,,6 . 99,,,38 . 6,,,,,,
6 15 . 6  2 . 82  23 . 6,,3 . 7 2 12 . 8,,,1 . 53,,,48 . 0,,,,,,
7 2 . 8 0 . 64 2 .15,,0 .43 57 . 3,,,8 . 7 1,,,37 . 7,,,,,,
