0,1,2,3,4,5,6,7,8,9,10,11,12,13
36 . 2,21 .8,7 . 49,1 . 10,----,,,,,,,,,
33 . 5,21 . 5,"5 , 18",0.7 0,----,--------,"56 . 0  55 , 3",,8.42 7 . 6 6,,Rb ! zP0,,,4
31 .8  31.3,21 . 1 21 . 3,"4 .01 3 , 25",0 . 51 0 .41,---- ----,--------,"5 4  , 2 54 , 7",,7 .12 7 .14,,"I I """,,,
30.1,21.2,2 . 18,0 . 2 7,----,----,54 . 5,,6.89,,"""",,,
28 . 6,20 .8,1.21,0.14,----,----,53.5,,6 . 4 6,,,,,
28 . 3,21 . 2,0.38,0 . 05,----,----,54.5,,6 . 61,,,,,
28 . 5,23 . 2,----,----,2 . 17,0 . 52,55 . 3,,7 . 14,,,,,
29 .  5 30 . 3,28 . 4  33 . 6,---- --,--------,8 . 29,2 . 4 6,57 . 3,,9 . 12,,,,,
30 . 7  3 1 .3,36 . 0 3 9 . 6,-------- --,---- ----,"14 . 6  21 . 9 17 , 5","5 , 63 7 ,82  12 .8","58,8 59 , 6 60 , 8",,12 . 2  14 . 3 19.2,,,,,
31.4,3 9 . 5,----,----,21 . 6,12 . 7,61 . 0,,19 . 2,,,,,
30 . 9,41 . 7,----,----,2 5.2,17 . 3,60 . 0,,22.2,,RbH (P05,,,4 ) 2
