0,1,2,3,4,5,6,7
76 47 - 14 - '.l,"65 , 66 ,","76 - 78,  80 - 85,","88 - 91 , 11 1 , 11 9 - 12 1 ,","13 4 ,",,,13 5
76 47 - 17 - 8,32 7,,,,,,
76 64 - 38 - 2,"E l - E6,","9 ,  10 ,  E l l - E l 5 ,","16, 20 , 21 ,","23 ,  26 - 38 ,",,,
,"E l 68 - E l 71 ,","17 4 - 18 1 , 18 4 - 20 5 ,","26 4 - 26 6 ,","26 9, 27 0 ,",,,
,"31 6 ,  3 U",,,,,,
76 64 - 41 - 7,"E l - E 6,","8 , 26 9 , 27 0 , 30 0,","30 1 , 32 9 - 33 1",,,,
76 81 - 49 - 4,15 4,,,,,,
77 22 - 76 - 1,"54 - 58 ,","86, 87 , 90 ,","2 L 7 ,  23 0,  23 1 ,","23 6, 24 4 - 24 7 ,",,,
,"25 6 , 26 2 ,","26 3, 26 7 , 26 8 ,","L 74 , 27 5 ,","29 3 - 29 6 ,","31 3 ,",,
,32 6,,,,,,
77 22 - 84 - 1,"10 7 ,  11 3 ,","14 1 , 14 2 ,  22 5",,,,,
"77 32 - 18 - ::,","E l - E 6,","7 - 10 , E l l - E l 5,","16 - 38 , E 39 - E42 ,","43 - 46 ,",,,
,"E 47 - E 52,","53 - 97 , E 98 - E l 02 ,","10 3 - 12 6,","E l 27 - E l 30,",,,
,"13 1 - 16 7 ,","E l 68 - E l 71 , 17 2 - 20 5 ,","E 20 6 - E21 2 ,","21 3 - 27 1,",,,
,"E 27 8 , E L 79 ,","28 0 - 2 ':!6 ,  :i:; 29 ·1 ,","29 8 - 30 6 ,","E 30 7 - E 31 1 ,",,,
,"31 L - 31 7 ,","E 31 8 - E32 4 , 32 5 - 33 3",,,,,
77 47 - 40 - 7,"80 - 85 ,","88 , 89 , 91 , 22 6,","22 8 , 22 9 ,  24 0 - 24 3 ,","25 1 ,",,,
,"25 2 , L 55 ,","25 9, 26 2, L 63 ,","26 / ,  26 8 ,","27 1 , 28 7 ,",28 8,,
77 57 - 79 - 1,"92 - 95 ,","22 4 , 23 2 , 23 3,","25 3 , 25 4 , 26 0 ,","26 1 , 28 6",,,
77 57 - 82 - 6,"53 , 12 ? ,","12 3 , 13 6 - 13 8 ,","14 0 , 14 5, 15 5,",16 1 - 16 4,,,
77 57 - 86 - 0,11 5,,,,,,
77 58 - 09 - 0,30 3,,,,,,
"7""/ 58 - 11 - 4","10 8 , 10 9 ,","E l 68 , 17 2,","17 3 ,  E 27 8, E 27 9,",28 0 - 29 6,,,
77 75 - 19 - 1,"73 , 74",,,,,,
77 78 - 53 - 2,"14 9 , 16 5 ,","E l 68 - E l 71 ,","17 5 - 17 / ,  18 4 - 18 7 ,","E29 7 ,",,,
,L 98 - 30 6,,,,,,
77 78 - 77 - u,"67 ,  68,","70 - 72 , 75, 80 - 85,","88 , 89 ,  91 - 95 ,","E l 68 ,",,,
,"17 4 ,  17 8 - 18 3 ,","20 3 - 20 5 ,","E 20 6 - E 21 2 , 21 3 - 27 7 ,",32 8,,,
77 78 - 80 - 5,"22 3 , 23 7 - 23 9 ,","24 9 , 25 0",,,,,
n 82 - 0 s - 6,E l l,,,,,,
77 83 - 28 - 0,"86, 87 ,","11 7 ,  11 9 ,  12 0,","28 1 ,  28 2 , 29 3 - 29 6",,,,
77 84 - 41 - 0,22 0,,,,,,
77 89 - 20 - 0,"31 5 , 33 2 ,",33 3,,,,,
77 91 - 11 - 9,31 4,,,,,,
