0,1,2,3,4,5,6,7,8,9,10,11,12
,23,"4,89",,"1,079,75",,1.41,,85.36,"97,52",,,C
,24,4.41,,"0,936.66",,0.93,,88.93,98.14,,,t i
,25,6.35,,"1,388.05",,1.16,,85.60,97.46,,,
,26,8.50,,"1.929,80",,1.49,,81.70,"96,59",,,I I
,27,15.18,,"3,89  15.10",,2.57,,69.72,93.54,,,I I
,28,16.20,,4.2415.98,,2.78,,67.82,"92,98",,,I I
,29,21.18,,"6,2019.86",,3.84,,58.96,89.96,,,I I
,30,22.49,,6.72 20.45,,4.05,,57.06,"89,23",,,I I
,31,27.10,,"9,0624.00",,5.33,,48.90,85.61,,,I I
,32,27.63,,"9,3123.97",,5.36,,48.40,85.33,,C,+ Fe
,33,29.24,,"10,292 5,23",,5.89,,"45,53",83.82,,,?
,34,30.54,,"11,042 5.69",,6.16,,43.77,82.80,,,?
,35,31.50,,"11,542 5.58",,6.14,,42.92,82.32,,,D
,36,31.03,,11.0024.05,,5.66,,44.92,83.84,,,I I
,37,"30,86",,"10,7823.26",,"5,39",,45.88,83.83,,,I I
,38,32.70,,"11,542 2.23",,5.20,,45.07,83.26,,,I I
,39,34.38,,"12,3821.90",,"5,23",,43.72,87.39,,D,+ E
,40,34.49,,12.472 2.06,,5.29,,43.45,82.24,,,
,41,27.05,,8.9123.01,,5.03,,49.94,86.06,,,F
,42,"25,94",,"8,152 0.80",,4.33,,53.26,87.52,,,I I
,43,"24,91",,"7,4818.82",,3.76,,56.27,88.76,,,I I
,44,26.92,,8.30  18.60,,"3,80",,54.48,87.90,,,I I
,45,"29,35",,9.36 18.72,,3.96,,"51,93","86,68",,,I I
,46,31.29,,"10,4119.75",,4.36,,48.96,85.23,,,I I
,47,32.62,,11.0719.80,,4.36,,47.58,84.48,,,
,48,32.83,,11.1719.80,,4.47,,47.37,84.36,,,
,49,"32,28",,"10,8519.53",,4.35,,48.19,84.80,,,I I
,50,31.26,,"10,0717.55",,"3,6",,51.19,86.27,,,I I
,51,30.20,,"9,3415.81",,3.24,,53.99,87.42,,,I I
,52,29.46,,"8,89  14.80",,"2,96",,55.74,88.15,,,I I
,53,"29,60",,"8,8113.59",,2.68,,56.81,88.51,,,I I
,54,29.28,,"8,6613.41",,2.63,,57.31,88.71,,,
,55,29.18,,8.46  11.98,,2.30,,58.84,89.24,,,
,56,"29,20",,"7,97  7.25",,1.32,,63.55,"90,71",,,E
,57,29.16,,"7,907.76",,1.22,,64.08,"90,88",,,I I
,58,33.19,,"8,892.12",,0.38,,64.69,90.73,,,I I
,59,38.16,,"10,781,74",,"0,33",,60.10,88.89,,,I I
,60,"40,16",,"11,682.11",,"0,41",,57.73,87.91,,,I I
,61,41.82,,"12,522,70",,0.54,,55.48,86.94,,,
,62,36.23,,"13,2321.04",,5.10,,42.73,81.67,,,
,63,33.65,,11.4018.74,,4.21,,47.61,84.39,,,t i
,64,"32,65",,"10,6917.45",,"3,79",,49.90,85.52,,,""""
,65,31.70,,10.0215.92,,3.34,,52.38,86.64,,,t i
,66,"31,18",,"9,5814.40",,2.93,,54.42,87.49,,,I I
,67,31.40,,"9,39 12,26",,2.43,,56.34,88.18,,,I I
,68,"31,52",,"9,4112.00",,"2,38",,"56,48",88.21,,,t i
,69,32.24,,"9,60  11.16",,2.20,,56.60,88.20,,,I I
,70,36.82,,11.6111.00,,2.30,,52.18,86.09,,,
,71,41.75,,"15,4416.67",,4.09,,41.58,80.47,,,
,72,40.93,,"13,9812.52",,"2,84",,46.55,"83,18",,,I I
,73,41.14,,"12,77  5,92",,1.22,,52.94,"86,01",,,I I
,74,41.86,,"12,713.66",,0.74,,54.48,"86,55",,,I I
,75,42.30,,"12,79 2.99",,0.60,,54.71,"86,61",,,G
,76,41.95,,12.572.62,,0.52,,55.43,86.91,,,t 1
,77,41.80,,12.422.17,,"0,43",,56.03,"87,15",,,I I
,78,41.68,,12.26 1.50,,0.29,,56.82,"87,45",,,I I
a The so1id,79 phases,"41,01 are :  A",•,"11,732H3Po4 ·n2o ;  B -----",•,---- KH5 {P04) 2 ;,C,"58,99  • KH2Po4 ;","88,27 D • K2HP0",4.0,°3H2o ;,I I
