0,1,2,3,4,5,6
32,38.83,17.78,"b 30,749.34",30.43,72.88,D ( ? )
33,38.06,17.19,30.789.22,31.16,"73,59",C + D ( ? )
34,36.65,16.23,31.029.12,32.23,74.65,
35,36.61,16.28,31.389.26,"32,01",74.46,I I
36,35.69,15.77,"31.919,36",32.40,74.87,I I
37,35.77,15.94,31.109.19,32.13,74.87,F
38,35.58,15.45,31.168.98,33.28,75.57,I I
39,"35,54",15.47,31.30  9.04,33.16,75.49,I I
40,"35,35",15.38,31.449.07,33.21,"75,55",I I
41,34.00,14.12,30.308.35,35.70,77.53,I I
42,33.79,13.89,29.938.16,"36,28",77.95,I I
43,33.70,13.91,"30,25 8.28",36.05,77.81,I I
44,32.80,13.19,"29,697.92",37.51,78.89,I I
45,31.80,12.44,"29,087.54",39.12,80.02,I I
46,27.91,"9,88",26.786.28,45.31,83.84,F
47,25.60,8.54,25.205.58,"49,20",85.88,I I
48,25.25,8.34,24.80  5.43,49.95,86.23,I I
49,21.78,6.66,"22,714.61","55,51",88.73,I I
so,12.56,3.20,"17,012.88",70.43,93.92,I I
51,10.63,2.60,"15,312.49",74.06,94.91,I I
52,"10,06","2,45",15.152.45,74.79,95.11,I I
53,10.15,2.47,15.30 2.45,74.55,95.08,I I
54,10.32,2.53,"15.562,53",74.12,94.94,I
55,10.48,2.64,"17.872,99",71.65,94.37,
56,10.71,2.75,19.423.31,69.87,93.34,
57,11.11,"3,09",25.514.71,63.38,92.20,
58,12.03,3.61,30.40  6.05,57.57,90.34,
59,12.25,3.77,31.946.51,55.82,89.72,
60,12.96,4.52,39.74 9.20,"47,30",86.28,
61,13.22,4.71,"40.859,66","45,93",85.63,
62,14.21,6.02,49.7113.98,36.08,80.00,
63,14.30,6.09,49.8714.09,35.83,79.82,
64,14.34,6.27,51.1514.83,34.51,78.90,G
65,"9,65",4.25,55.85  16.30,34.51,79.45,I I
66,9.53,4.18,55.72  16.19,34.75,79.63,I I
67,8.84,3.59,57.9217.45,33.24,78.96,I I
68,8.71,3.95,58.1717.50,33.12,78.55,I I
69,8.68,3.50,60.2416.13,38.08,80.37,I I
70,"9,10",4.56,62.4820.75,28.52,74.69,I I
71,10.05,5.60,65.9324.38,24.02,70.02,I I
