0,1,2,3
T/K,mole fraction,mol/kg,mass%
273.2,"0,017287","0,98","11,74"
"278,2",0.019886,1.13,13.30
"283,2","0,022653","1,29",14.91
"288,2","0,025586","1,46","16,56"
"293,2","0,028684","1,64","18,25"
"298,2","0,031948","1,83",19.97
303.2,"0,035385","2,04",21.71
"308,2","0,039006",2.25,23.48
31 3.2,0.042825,2.48,25.28
318.2,0.046861,"2,73",27.10
"323,2","0,051139","2,99","28,95"
"328,2","0,055690",3.28,30.84
"333,2","0,060548","3,58",32.76
"338,2","0,065757","3,91","34,73"
"343,2","0,071367",4.27,36.75
"348,2","0,077434","4,66",38.82
"353,2",0.084028,5.10,40.96
358.2,0.091224,5.58,43.15
"363,2","0,099113",6.11,45.41
"368,2",0.10780,"6,71","47,74"
373.2,"0,11740","7,39","50,14"
"378,2","0,12806",8.16,52.62
