0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,,,,KH/0,,,,,,,,,,,,,,,
d g,cm -3,,,b cone . a,4 b mass%,b mol/kg,,a cone .,,NH mass% b H4,,/04,,b mol/kg,,H cone .,i,,°,mass%
"1,1151",,,,100,15.5,1.35,,0,,0,,,,0,,4125,,,,"85,5"
1.1169,,,,80.6,14.7,1.32,,19.4,,3.6,,,,0.32,,3400,,,,81.7
1.1393,,,,67.4,13.8,1.27,,32.6,,7.0,,,,0.62,,2950,,,,79.2
1.1472,,,,54.7,12.8,1.20,,45.3,,10.2,,,,0.89,,2540,,,,77. o
1.157 7,,,,"49,3",12.4,1.17,,50.7,,12.2,,,,1.21,,2325,,,,75.4
1.1571,,,,44.2,11.4,1.10,,55.8,,13.7,,,,1.38,,2240,,,,74.9
"1,1603",,,,38.1,10.2,0.89,,61.9,,"15,7",,,,1.61,,2130,,,,74.1
1.1604,,,,"36,4","9,8","0,86",,63.6,,16.1,,,,1.67,,2120,,,,74.1
"1,1611",,,,"35,2",9.6,"0,83",,64.8,,16.4,,,,1.71,,2105,,,,74.0
1.1574,,,,31.2,8.4,0.82,,68.8,,17.1,,,,1.73,,2130,,,,74. S
"1,1568",,,,26.4,"7,0",0.67,,73.6,,17.6,,,,1.86,,2200,,,,76.4
1.1447,,,,18.2,4.6,0.44,,81.8,,18.7,,,,1.99,,2280,,,,76.7
1.1350,,,,"15,3",2.8,0.36,,84.7,,19.7,,,,2.00,,2350,,,,77.5
1.1312,,,,12.4,3.0,"0,28",,87.6,,18.6,,,,1.97,,2450,,,,78.4
1.1043,,,,0,0,0,,100,,18.6,,,,1.97,,2815,,,,81.4
