0,1,2,3,4,5,6,7,8,9
25,20.42,1.88,----,----,25,7.98,0.88,25.42,3.31
25,19.12,1.92,7.87,0.93,25,----,----,29.45,3.62
25,18.52,1.85,8.04,0.95,so,28.09,2.87,----,----
25,18.14,1.85,9.98,1.20,so,25.23,2.83,9.49,1.26
25,17.66,1.80,10.44,1.26,so,18.97,2.52,"25,91",4.08
25,17.94,1.84,10.52,1.27,50,15.92,2.12,29.12,4.60
25,16.78,1.75,13.09,1.62,so,14.38,1.93,30.96,4.92
25,14.80,1.60,17.47,2.24,so,11.79,1.57,33.22,5.25
25,12.74,1.40,20.82,2.72,so,7.69,0.98,35.19,5.35
25,10.17,1.12,23.16,3.01,so,3.45,0.43,38.42,5.74
25,10.02,1.09,22.93,2.97,so,----,----,39.88,5.76
