0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,,,,,,,,,so1id
tt •c .,mass%,b cone,,a mol/kg,,mass%,b cone,,a mol/kg,,mass%,b cone,,phase
-10,0,0,,0.oo,,30.70,100,,7.37,,69.30,752,,ice
-10,2.00,1.50,,0.21,,29.70,98.50,,7.24,,69.30,765,,""""
-10,"2,92",4.60,,0.30,,27.10,95.40,,6.44,,"69,98",820,,""""
-10,"6,86",11.20,,o .72,,23.80,88.80,,s .71,,"69,34",859,,""""
-10,"7,60",10.70,,0.86,,27.72,89.30,,7.13,,64.68,694,,KH2Po4
-10,6.16,7.80,,0.72,,31.60,92.20,,8.45,,62.24,602,,urea
-10,"2,69","3,50",,"0,30",,32.60,96.50,,8.38,,64.71,638,,""""
-10,0,0,,0.oo,,33.50,100,,8.38,,"66,50",660,,""""
0,12.15,100,,1.01,,0,0,,0.oo,,87.85,5460,,KHiPo4
0,10.65,"34,50",,"0,97",,"8,93",65.50,,1.84,,80.42,1967,,
0,"9,85",19.60,,1.01,,18.10,80.40,,4.18,,71.95,1065,,""""
0,8.80,12.50,,1.01,,27.36,87.50,,7.13,,63.84,680,,""""
0,"5,60",6.10,,o .72,,37.70,"93,90",,11.07,,56.70,470,,urea
0,2.45,2.70,,"0,30",,38.80,97.30,,10.99,,58.75,491,,""""
0,0,0,,0.00,,39.80,100,,11.00,,60.20,520,,""""
+10,14.95,100,,1.29,,0,0,,0.00,,85.06,4300,,KHiP04
+10,13.25,40.30,,1.24,,8.67,59.70,,1.84,,78.08,1793,,
+10,11.60,22.50,,1.20,,17.68,77. so,,4.16,,"70,72 -",1033,,I I
+10,10.00,"1,4.10",,1.16,,27.00,85.90,,7.13,,"63,00",669,,""""
+10,8.20,8.90,,1.09,,36.70,91.10,,11.08,,55.10,455,,""""
+10,7.40,7.20,,1.06,,41.65,92.80,,13.62,,50.95,377,,""""
