0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
257.2,,19.6,,73.2,,,,,,,481.2,,B,+,E
264.8,,24.0,,71.2,,,,,,,681.4,,,I I,
273.0,,27.4,,69.6,,,,,,,812.3,,,I I,
2812.6,,11.7,,75.7,,,,,,,278.1,,D,+,E
2913.8,,"9,8",,76.4,,,,,,,277.9,,,I I,
"302,6",,4.1,,"93,3",,,,,,,99.4,,,A,
"316,5",,3.9,,89.6,,,,,,,154.2,,,I I,
"327,6",,8.9,,83.5,,,,,,,159.5,,,,
339.8,,10.1,,80.1,,,,,,,185.9,,,,
3410.8,,9.1,,80.1,,,,,,,200.2,,,,
"3510,7",,3.7,,85.6,,,,,,,208.8,,,,
36 12.4,,7.9,,79.7,,,,,,,"221,2",,,,
3716.9,,3.5,,"79,6",,,,,,,"290,2",,,,
"385,9",,13.1,,81.0,,,,,,,160.0,,,,
395.2,,15.0,,79.8,,,,,,,242.4,,,I I,
402.7,,19.3,,78.0,,,,,,,397.8,,,I I,
411.8,,26.3,,71.9,,,,,,,722.0,,,I I,
429.1,,11.8,,79.1,,,,,,,169.1,,,D,
438.5,,12.4,,79.1,,,,,,,169.5,,,"""",
"448,6",,12.4,,79.0,,,,,,,173.7,,,"""",
"4510,3",,10.1,,79.6,,,,,,,186.5,,,I I,
4610.7,,"9,8",,79.5,,,,,,,191.9,,,"""",
4710.0,,11.9,,78.1,,,,,,,193.2,,,,
4810.1,,12.2,,77.7,,,,,,,196.3,,,I I,
4910.3,,11.2,,78.5,,,,,,,198.5,,,I I,
5012.0,,9.3,,78.7,,,,,,,215.1,,,I I,
5111.1,,12.1,,76.8,,,,,,,"234,0",,,I I,
5213.7,,"8,0",,78.3,,,,,,,237.6,,,I I,
5314.0,,8.5,,77.5,,,,,,,246.3,,,I I,
olid phases are:,A a,Ca (H : 2 Po 4 ),,; 2 B a,KH 2,Po4 ;,,C,,=,Kll5 (P04 ),2.0,,,
Ca .9 K 41132 (P04 ) 18,• 10H 2,0 ;  E = Cal!P0,,4,,,,,,,,,,,
",The compiler has",calculated,,,the fo1lowing,,,values,,,,from the data given in Par,,,,
above . Ca (Hl0,,04 ) 2,,Klll,,4,,,,,H Po3,,4,,
"soln,n0.mass%",,mol/kg,,mass%,,mo1/kg,,,,,mass%,,mol/kg mass%,,
18.91,,1.62,,32.65,,10.22,,,,,34.96,,15.1923.48,,
224.67,,2.80,,21.69,,,4.23,,,,16.04,,4.3537.61,,
32 5.36,,2.23,,18.43,,,2.79,,,,7.71,,1.6248.49,,
436.28,,3.44,,8.65,,,1.41,,,,10.03,,2.2745.05,,
54.51,,0.91,,22.16,,,7.68,,,,52.13,,25.0821.20,,
67.45,,1.39,,"27,14",,,8.71,,,,42.48,,18.9222.90,,
"78,60",,1.59,,31.04,,,9.89,,,,37.23,,16.4523.09,,
811.32,,1.84,,30.97,,,8.68,,,,31.49,,12.2526.22,,
917.07,,2.28,,26.40,,,6.06,,,,24.53,,7.8232.00,,
1019.59,,2.41,,24.15,,,5.11,,,,21.54,,6.3334.72,,
"1122,27",,"2,63",,23.13,,,4.70,,,,18.43,,5.203 6.17,,
1224.62,,2.83,,21.74,,,4.29,,,,16.46,,4.5237.18,,
132 6.88,,"3,08",,19.28,,,3.80,,,,16.55,,"4.5337,30",,
"1430,47",,"3,31",,15.46,,,2.89,,,,14.77,,"3.8339,30",,
1531.73,,"3,16",,"12,59",,,"2,16",,,,12.79,,3.0442.89,,
1633.46,,3.27,,10.71,,,1.80,,,,12.11,,2.8343.72,,
1736.50,,3.30,,5.96,,,0.92,,,,10.22,,2.2047.32,,
1838.54,,3.40,,2.49,,,0.38,,,,10.53,,2.22  47.32,,
1925.48,,2.73,,20.57,,,3.79,,,,14.02,,3.583 9.92,,
"2025,93",,"2,72",,20.37,,,3.67,,,,12.97,,"3,25 40.73",,
212 5.75,,"2,65",,20.17,,,"3,57",,,,12.52,,3.0741.56,,
2225.76,,2.54,,19.52,,,3.31,,,,11.48,,2.7143.24,,
