0,1,2,3,4,5
67.9,12.18,0.1,0.04,32.0,I I
60.2,8.68,0,0,39.8,I I
,,temp . ..,50 ° c.,,
0,0,29.6,5.63,70.4,A
5.6,0.47,27.3,5.45,67.1,I I
9.2,0.78,23.8,4.76,67.0,I I
14.0,1.24,21.5,4.47,64.5,I I
39.1,4.49,11.0,2.95,49.9,I I
"59,8",9.61,4.5,1.69,35.7,I I
69.5,13.71,1.4,0.64,29.1,C
70.0,13.39,0,0,30.0,I I
,,temp .,""" 75 ° c .",,
0,0,33.2,6.66,66.8,A
5.9,0.52,29.6,6.15,64.5,I I
10.0,0.91,27.1,5.77,62.9,I I
13.7,1.28,25.0,5.46,61.3,I I
20.2,2.02,22.4,5.23,55.4,I I
47.3,6.38,10.2,3.21,42.5,I I
60.1,9.85,4.9,1.87,35.0,I I
69.4,13.93,2.0,0.93,28.6,I I
73.9,16.25,0,0,26.1,C
