0,1,2,3,4,5,6,7,8,9,10,11,12,13
t./ o c .a NH4H/04,(NH4) HP04,,K HP0,• 2H,0,b,H 0,,A c.,,,ammonium phosphates,
8 ----,----2,,229.8211  4,,2,,21 5,,i 50,,,-----,
41,0.4274,,19.8807,,,,10,,50,,,4.56,
22,0.8548,,29.8211,,,,15,,50,,,6.00,
-0.53,1.2822,,29.8211,,,,15,,50,,,8.72,
-34,1.7096,,29.8211,,,,15,,50,,,11.27,
-3.54.5,1.9233,,29.8211,,,,15,,50,,,12.50,
-55,2.1370,,29.8211,,,,15,,50,,,13.73,
75.5,2.3507,,29.8211,,,,15,,50,,,14.90,
13.56,2.5644,,29.8211,,,,15,,50,,,16.04,
13 ----,----,,27.2952,,,,10,,55,,,-----,
10.51,0.4274,,27.2952,,,,10,,55,,,3.70,
92,0.8548,,27.2952,,,,10,,55,,,7.10,
4.53,1.2822,,27.2952,,,,10,,55,,,10.3,
83.5,1.4970,,27.2952,,,,10,,55,,,11.8,
124,1.7096,,27.2952,,,,10,,55,,,13.3,
3 ----,----,,24.5162,,,,15,,46.4,,,-----,
-8.54.0533,1.7322,,24.5162,,,,15,,46.4,,,12.77,
-104.6573,1.9903,,24.5162,,,,15,,46.4,,,14.4,
11.55.6232,2.4031,,24.5162,,,,15,,46.4,,,16.85,
12 ----,----,,24.3237,,,,10,,53,,,-----,
1.72.8571,1.2210,,24.3237,,,,10,,53,,,"10,62",
03.3453,1.4296,,24.3237,,,,10,,53,,,12.21,
102.4576,1.0503,,34.5454,,,,10,,58,,,"7,3",
aThe temperature,at which the,last crysta1disappeared .,,,,,,,,,,,
b,,,,,,,,,,,,,
This is probably,a typographical,,error .,,The,,dihydrate,,is not mentioned,,,,an
in the text and,on the basis of,,the compiler ' s,,,,recalculation,,,,the starting,,
appears to be the trihydrate .,,,,,,,,,,,,,
"C This is a constant,",near to but not identica1with,,,,,,,the mass%,,,of,the binary,
solution of K the section stud ied .2 HP0,lying 4 on,,,,,,,,,,,,
2.  The co1.1piler,has r ecalculated,,the data,,in Part,,1,,assuming,,that,the star,
dipotassium hydrogenphosphate,,,is K HP0,,,' 3H,o. The,,recalculated,,,values,
given below.,,,2,,4,,2,,,,,,
K2HP04,NH (NH4)4 Hl04,,,,,,2HP0,o 4,H,2.0,,,
mass% mo1/kg,mass% mo1/kg,,mass%,,,,mo1/kg,,mass%,,,ti °C .,
25.01.9,----,----,----,,,,----,,75.0,,,-7,
23.71.9,3.64,0.4,,1.55,,,0.2,,71.1,,,-6.9,
23.31.9,4.67,0.6,,2.00,,,0.2,,70.0,,,-7.2,
"22,91.9",5.77,0.7,,2.47,,,0.3,,68.8,,,-7.7,
22.21.9,7.88,1.0,,3.46,,,0.4,,66.5,,,-9,
20.62.0,13.3,1.9,,5.68,,,0.7,,60.4,,,-9,
20.22.0,14.2,2.1,,6.05,,,0.8,,59.5,,,-6.5,
19.92.0,15.2,2.3,,6.49,,,0.8,,58.4,,,-2.5,
19.61.9,15.8,2.4,,6.74,,,0.9,,57.8,,,-2,
18.91.9,17.8,2.8,,7.72,,,1.1,,55.6,,,4.5,
18.41.9,18.1,3.1,,8.17,,,1.1,,54.3,,,10.5,
18.31.9,19.4,3.1,,8.28,,,1.2,,54.0,,,9,
17.71.9,21.1,3.5,,9.01,,,1.3,,52.2,,,17,
