0,1,2,3,4,5,6,7,8
67 - 64 - 1,"96,97,12 4,12 5,","16 6,",,16 7,,,,
75 - 12 - 7,"27 2,27 6,27 7",,,,,,,
12 7 - 08 - 2,22 1,,,,,,,
13 9 - 33 - 3,11 6,,,,,,,
49 7 - 19 - 8,"13 9,15 2,15 7,",15 8,,,,,,
58 4 - 08 - 7,"22 2,28 3,29 1,",29 2,,,,,,
13 02 - 42 - 7,"15 9,16 0 - 16 2",,,,,,,
13 10 - 58 - 3,"E 168 - E 171,18 2 - 20 5",,,,,,,
13 10 - 65 - 2,E 1- E6,,,,,,,
13 10 - 66 - 3,E 4,,,,,,,
13 10 - 73 - 2,"E 11- .1:: 15,17 - 19,","22,",,"24 - 38,",15 5 - 16 2,,,
13 14 - 56 - 3,31 5,,,,,,,
13 30 - 43 - 4,14 7,,,,,,,
24 66 - 09 - 3,"26 9,27 0",,,,,,,
68 34 - 92 - 0,"11 4,14 3,15 3,",16 5,,,,,,
75 57 - 82 - 6,11 2,,,,,,,
75 58 - 79 - 4,"E 1l,18,19,22,","23,",,"37,38,","E 98 - E 102,",,10 3 - 12 6,
75 58 - 80 - 7,"E 1l,16,20,21,","24,",,"25,E 39 - E 42,",,"43 - 45,",,"E 47 - E52,"
,53 - 97,,,,,,,
76 01 - 54 - 9,"E 11- E 15,17,26 - 36",",",,"E 127 - E130,",,13 1 - 16 7,,
