0,1,2,3,4,5,6
- 8.7,,84.24,15.76,3.595,2.07,Ice
-13.2,,79.27,20.73,4.954,2.893,""""
-15.2,,77.37,22.63,5.508,3.236,""""
-17.4,,75.56,24.44,6.056,3.578,""""
-19.9,,73.30,26.7,6.768,4.03,""""
-23.3,,71. 32,28.68,7.42,4.449,""""
-26.2,,69.67,30.33,7.984,4.816,""""
-30.5,,67.29,32.71,8.832,5.378,""""
-36.6,,64.62,35.38,9.838,6.057,""""
-39.1,,63.27,36.73,10.37,6.422,""""
-39.0,,62.58,37.42,10.65,6.615,LiCl03· 3H20
-37.1,,61.9,38.1,10.9,6.81,""""
-33.9,,60.95,39.05,11.32,7.088,""""
-15.7,,54.65,45.35,14.19,9.18,""""
- 8.8,,52.06,47.94,15.51,10.19,""""
- 7.3,,51.04,48.96,16.05,10.61,""""
- 4.8,,49.51,50.49,16.89,11.28,""""
- 1.8,,48.05,51.95,17.73,11.96,""""
+ 0.5,,46.73,53.27,18.51,12.61,""""
2.2,,45.43,54.57,19.32,13.29,""""
4.8,,43.34,56.66,20.67,14.46,""""
6.1,,41.84,58.16,21.69,15.38,""""
7.3,,39.85,60.15,23.13,16.7,""""
