0,1,2,3,4,5
- 6.5,,10.4,1. 28,"""",""""
-14.2,,20.0,2.77,"""",""""
-26.2,,29.2,4.56,"""",""""
-28.6,,30.2,4.79,"""",""""
-40.4,,36.0,6.22,"""",""""
-43.3,,37.3,6.58,"""",A+B
-16.9,,45.8,9.35,Solubility,B
- 1.5,,52.8,12.4,"""",""""
+ 3.0,,56.7,14.5,"""",""""
5.2,,57.9,15.2,"""",""""
6.0,,58.7,15.7,"""",""""
8.1,,60.8,17.2,"""",""""
6.0,,68.1,23.6,"""",""""
3.0,,70.8,26.8,"""",""""
- 0.1,,73.1,30.1,Thermal analysis,B+C
3.0,,73.6,30.8,Solubility,C
5.6,,74.2,31. 8,"""",""""
6.0,,74.1,31. 7,"""",""""
8.5,,75.1,33.4,"""",""""
10.5,,75.7,34.5,"""",""""
