0,1,2,3
- 0.0030,0.000815,0.00345,lce
-0.0036,0.001,0.00424,ice
-0.0050,0.001388,0.00588,ice
- 0.0069,0.001889,0.00801,ice
-0.0121,0.00335,0.01420,ice
-0.0135,0.003706,0.01571,ice
-0.0216,0.005982,0.02535,ice
-0.0388,0.01081,0.04580,ice
-0.0611,0.017113,0.07249,ice
-0.1024,0.02883,0.12207,ice
-0.1483,0.041929,0.17743,ice
-0.2192,0.062321,0.26350,ice
-0.2925,0.083317,0.35195,ice
-0.3786,0.10807,0.45604,ice
-0.4663,0.13317,0.56137,ice
-0.5355,0.15304,0.64459,ice
-0.6660,0.19001,0.79905,ice
-0.7892,0.2248,0.94398,ice
-0.8997,0.25602,1.0737,ice
-1. 0333,0.2932,1. 2277,ice
-1.2395,0.35012,1.4625,ice
-1.4051,0.39572,1. 6499,ice
-1. 5559,0.43607,1.8150,ice
-1.7634,0.49181,2.0423,ice
-1. 9549,0.54212,2.2465,ice
-2.1771,0.60053,2.4826,ice
--2.4310,0.66599,2.7457,ice
-2.7692,0.75093,3.0851,ice
-3.0618,0.82305,3.3714,ice
-3.4354,0.91361,3.7286,ice
-3.8212,1.005,4.0863,ice
-4.3144,1.1196,4.5312,ice
-4.8798,1.2458,5.0163,ice
