0,1,2,3,4,5,6,7,8,9,10,11,12,13
Pc/kg cm- 2,,,,240.0,262.0,286.0,313,343,373.0,405.0,436.0,,
0 169,,194.0,215.0,,,,,,,,,,
0.005,,,,149.0,154.0,159.0,163,166,169.0,171.0,,,
0.01,,,,172.0,178.0,184.0,190,194,198.0,202.0,205.0,208.0,
0.02,,,,193.0,199.0,206.0,213,220,226.0,231.0,236.0,241.0,
0.03,,,,206.0,211.0,218.0,227,234,241.0,248.0,254.0,259.0,267.0
0.05,,,,220.0,226.0,234.0,243,252,261.0,269.0,277.0,285.0,296.0
0.1,,,,234.0,242.0,253.0,264,275,286.0,297.0,308.0,318.0,334.0
0.2,,,,240.0,254.0,268.0,283 a,297,311.0,325.0,338.0,352.0,372.0
0.5 167,,189.0,213.0,240.0,260.0,280.0,301,321,341.0,361.0,379.0,396.0,
1.0 166,,187.0,211.0,236.0,262.0,284.0,309,333,358.0,382.0,,,
2.0 163,,184.0,208.0,234.0,262.0,286.0,313,340,368.0,396.0,,,
5.0 157,,178.0,201.0,226.0,254.0,283.0,313,343 1,373.0,403.0,,,
10 148,,169.0,192.0,216.0,244.0,284.0,305,338,371.0,405.0,,,
15 140,,161.0,184.0,208.0,233.0,261.0,291,324,369.0,395.0,,,
20 133,,154.0,176.0,199.0,222.0,248.0,277,309,341.0,376.0,,,
25 127,,147.0,168.0,189.0,211.0,235.0,260,289,321.0,256.0,,,
satd 113,,127.0,141.0,155.0,169.0,183.0,198,213,227.0,243.0,258.0,273.0,297.0
