0,1,2,3,4,5,6,7,8
75.0,6.460b,-,-,,289.1,74.50,1. 771,0.996
100.0,6.680b,-,-,,760.0,-,1. 236,0.935
108.81,-,-,-,1.0,32.33,. 270.73,-,-
125.0,6.935,0.1111,28.84,1.0,740.96,460.88,1.202,0.835
150.0,7.198,0.1148,29.61,3.0,570.68,960.94,1.163,0.721
175.0,7.573,0.1202,30.68,6.0,695.13,1 837.1,1.106,0.610
200.0,7.973,0.1256,31. 79,11.0,664.93,3 276.6,1.048,0.501
225.0,8.435,0.1319,33.02,19.0,129.53,5 506.1,0.985,0.398
250.0,8.989,0.1394,34.44,29.0,832.76,8 855.3,0.915,0.303
275.0,9.649,0.1481,36.06,44.0,615.23,13 728,0.839,0.218
300.0,10.413,0.1580,37.83,64.0,432.36,20 713,0.761,0.144
