0,1,2,3,4,5,6,7,8,9,10,11,12,13
bt/OC mass,%,mol,-1 kg,,phase,b,t/OC,mass,%,mol,-1 kg,,phase
- 0.28.8,,0.30,,,A,,42.5,65.9,,5.91,,,C
- 0.715.3,,0.55,,,A,,51.3,69.9,,7.10,,,C
- 2.122.8,,0.90,,,A,,53.1,71.1,,7.53,,,C
- 5.430.0,,1.31,,,A,,,,,,,,
- 9.736.2,,1.74,,,A,,56.1,72.1,,7.90,,,C+D
-12.339.5,,2.00,,,A,,,,,,,,
-15.943.1,,2.32,,,A,,64.7,72.2,,7.94,,,D
22.949.8,,3.03,,,A,,76.4,76.1,,9.74,,,D
,,,,,,,77.5,78.8,,11.37,,,D
29.753.6,,3.53,,,A+B,,,,,,,,
,,,,,,,92.8,84.0,,16.06,,,E
8.156.3,,3.94,,,B,,127.0,85.0,,17.33,,,E
8.358.8,,4.37,,,B,,,,,,,,
21.361.0,,4.78,,,B,,,,,,,,
31.963.2,,5.Z5,,,B,,,,,,,,
34.363.6,,5.34,,,B,,,,,,,,
