0,1,2,3,4,5,6,7,8,9,10
- 2.1,,19.2,0.71,,ice,b63.871.4,7.42,Sm(N0,)3' 6H20,
- 3.9,,25.1,1.0,,,71.2 c 75.0,8.92,3,,
- 8.5,,33.7,1.51,,"""",73.076.2,9.52,,"""",
-11.9,,38.0,1.82,,"""",,,,"""",
,,,,,,,,,,b
-15.9,,42.5,2.2,,"""",-36.754.4,3.55,Sm(NO,) .5HZO,
-ZO.3,,46.5,2.58,,"""",353.867.0,6.04,3 Sm(N0,)3' 5II20,
-26.5,,49.9,2.96,,"""",365.869.1,6.65,,,
-33.5,,52.9,3.34,,"""",76.973.4,8.2,,"""",
,,,,,"""",,,,,
,,,,,,83.675.8,9.31,,"""",
-30.0,,51.9,3.21,Sm(N0,)3· 61120,"82.87{,.8",9.84,,"""",
,,,,3,,,,,,
- 4.8,,54.1,3.5,,,88.479.9,11.82,,"""",
13.8,,56.4,3.85,,"""",86.483.3,14.83,,"""",
30.3,,60.2,4.5,,"""",,,,"""",
41.4,,63.4,5.15,,"""",86.983.4,14.94,lower,hydrate,
