0,1,2,3,4,5,6,7,8
----,22.0,,9.28,0.819.00,1.03,,9.10,1.11
8.70,20.4,,9.30,0.799.40,0.66,,9.39,1.02
9.00,17.0,,9.30,0.549.28,1.26,,9.35,0.99
7.78,18.0,,9.32,0.879.43,0.79,,9.40,0.79
8.92,19.0,,9.32,0.799.35,0.79,,9.40,0.66
8.67,20.0,,9.25,0.389.39,0.41,,9.38,0.38
8.00,18.0,,9.22,0.799.30,1.82,,9.32,1.42
8.40,17.2,,8.81,0.799.12,1.44,,9.18,1.41
8.00,20.0,,8.98,1.039.06,1.91,,9.10,1.9
5.92,17.4,,8.82,1.759.02,1.11,,9.10,1.34
5.90,18.4,,8.92,1.059.13,1.90,,9.28,1.45
5.91,17.0,,8.90,0.639.20,1.34,,9.30,1.41
6.40,18.8,,9.29,0.559.30,0.98,,9.31,1.22
type of,Cd(OH)2,,pH,pHCCd/ppm a,,C Cd/ppm,b,
,,,--,,--,,,
powder,,,8.7,1.0,8.5,,0.485,
"""",,,8.8,0.9,8.7,,0.385,
"""",,,8.8,1.1,8.8,,0.425,
"""",,,9.0,0.96,8.9,,0.428,
freshly,pptd,,8.7,1.66,8.8,,0.640,
"""",,,8.6,2.12,8.6,,0.785,
