0,1,2,3,4,5,6,7,8,9
t/oC,mass,%,mass %,,mol %,,mol kg-1,,Nature of the
,,,(compiler),,(compiler),,(compiler),,solid ohase
42a,15.1,,84.9,,52.8,,62.2,,LiC103·1/3H20
40.0,15.3,,84.7,,52.5,,61.2,,""""
35.0,15.8,,84.2,,51.5,,59.0,,""""
30.0,16.3,,83.7,,50.6,,56.8,,""""
25.0,17.1,,82.9,,[.9.1,,53.6,,""""
20.0,17.5,,82.5,,48.4,,52.2,,""""
30.0,17.7,,82.3,,48.1,,51.4,,""""
25.0,18.9,,81.1,,46.1,,47.5,,""""
20.0,19.6,,80.4,,45.0,,45.4,,LiC103·H20
20.0,20.5,,79.5,,43.6,,42.9,,""""
18..0,22.3,,77.7,,41.0,,38.5,,""""
16.2,23.2,,76.8,,39.8,,36.6,,""""
12.7,24.8,,75.2,,37.7,,33.5,,""""
9.2,25.9,,74.1,,36.3,,31.7,,""""
8.0,26.3,,73.7,,35.8,,31.0,,""""
7.4,34.4,,65.6,,27.5,,21.1,,""""
6.0,42.6,,57.4,,21.2,,14.9,,""""
3.0,45.9,,54.1,,19.0,,13.0,,""""
0.0,29.0,,71.0,,32.8,,27.1,,LiC103·3H20(?)
0.0,46.9,,53.1,,18.4,,12.5,,LiC103·H20(?)
