0,1,2,3,4,5,6
· 39.018.8,,,,,,
· 48.521.2,,,II,,,
- 55.022.2,,,II,,,
- 64.023.6,,,,,,
- 65.023.8,,,,,,
--68.024.2,,,II,,,
·8/•.0 -78.5 LiCl'5H 20-73.025.927.225.2,Ice,~,LiCl·5H 20 II,,eut.ect.lc pOlnt.b,
-70.028.2,,,,,,
- 67.029.5a,,,II,,,
· 65.030.8a,,,II,,,
-67.229.3,LiCl·5H 20,,~ LiCl·3H 20,,perit.ebt.lc,point.
-67.529.2,LiCl·3H 20a,,,,,
-60.030.0,,,II,,,
-5 /•.530.6,,,II,,,
-51.030.8,,,II,,,
-1.9.531.4,,,,,,
-41.032.45,,,II,,,
-36.033.5,,,II,,,
-34.534.1,,,II,,,
-29.035.0,,,II,,,
-27.035.5,,,..,,,
-26.035.8,,,,,,
-25.536.15,,,..,,,
-20.037.3,,,..,,,
- 19.038.0,LiCl·3H 20,,i LiCl·2U 20,,peritectIc,point
-25.237.3a,,LiCl·2H20,,,,
-15.038.3,,,..,,,
-12.038.6,,,..,,,
- 8.538.9,,,..,,,
3.041.2,,,..,,,
12.143.2,,,..,,,
