0,1,2,3,4,5,6,7
o,1,26.25,NaCl,,,,
o,20,26.36,II,,,,
o,20,26.34,II,,,,
o,40,26.4,II,,,,
o,40,26.48,"""",,,,
9.0,1,26.31,II,,,,
9.0,20,26.33,II,,,,
9.0,20,26.38,II,,,,
12.0,1,26.34,II,,,,
12.0,1,26.35,II,,,,
15.0,1,26.32,II,,,,
15.0,1,26.28,II,,,,
15.0,1,26.34,II,,,,
15.0,1,26.27,II,,,,
15.0,1,26.3,average value,at,"15·C,",1.0,atm.
15.0,20,26.38,NaCl,,,,
15.0,20,26.39,II,,,,
15.0,40,26.4,II,,,,
20.0,1,26.34,II,,,,
20.0,1,26.36,II,,,,
20.0,20,26.36,II,,,,
20.0,20,26.38,II,,,,
25.0,1,26.38,II,,,,
25.0,1,26.36,II,,,,
25.0,20,26.44,II,,,,
25.0,20,26.49,II,,,,
30.0,1,26.47,II,,,,
30.0,20,26.53,II,,,,
