0,1,2,3,4
-0.0480,0.01334,3.60,0.224,ice
-0.0778,0.02186,3.56,0.367,lce
-0.1137,0.03258,3.49,0.546,ice
-0.1783,0.05129,3.476,0.856,lce
-0.2387,0.06934,3.443,1.154,lce
-0.3223,0.09464,3.406,1.568,lce
-0.4707,0.14264,3.363,2.345,lce
-0.6709,0.20258,3.312,3.298,lce
-0.8886,0.27115,3.2'17,4.366,ice
-1.1488,0.35424,3.243,5.628,lce
-1.4420,0.4492'/,3.209'/,7.032,lce
-1.8948,0.59'/82,3.1695,9.144,lce
-2.3909,0.76213,3.13'/1,11.372,lce
-3.1b60,1.01902,3.09'/1,14.644,ice
-4.0'/56,1.32599,3.0'136,18.250,ice
-5.120'/,1.6'1'1&4,3.0523,22.024,lce
-6.6548,2.19140,3.0368,26.951,lce
-'/.4223,2.45033,3.0291,29.20b,lce
-9.325'/,3.08390,3.0240,"34.1""16",lce
