0,1,2,3
-2.9,17.330.5320,II,A
-5.4,24.850.8392,II,A
-7.3,29.601.067,II,A
-18.0,43.041.918,II,A
-11.5,46.252.182,synthetic,B
-5.5,48.472.387,II,B
-4.2,45.272.099,II,B
,b,,
5.5,50.552.594,II,B
7.6,51.272.702,II,B
15.0,52.802.839,II,B
20.0,54.40 Bb3.028,Analytical,
21.1,55.583.175,II,B
25.0,55.903.217,II,B
36.1,60.283.851,II,B
43.6,64.204.551,II,B
54.5,70.255.993,II,B
56.1,71.956.510,II,B
57.4,72.766.779,"""",B
58.2,74.137.272,II,B
58.6,75.657.884,II,B+C
62.0,76.838.415,"""",C
72.4,78.509.266,"""",C
80.9,80.2010.28,"""",C
88.5,81.1310.91,"""",C
