0,1,2,3,4,5,source_file,pdf_source,table_types,6,7,8,9,10,11,12,13,14,15,16
Volume 4,"H. L. Clever, Argon",,,,,SDS-13_filtered_table_001.csv,SDS-13_filtered,,,,,,,,,,,,
Volume 5/6,"C. L. Young, Hydrogen and Deuterium",,,,,SDS-13_filtered_table_001.csv,SDS-13_filtered,,,,,,,,,,,,
Volume 7,"R. Battino, Oxygen and Ozone",,,,,SDS-13_filtered_table_001.csv,SDS-13_filtered,,,,,,,,,,,,
Volume 8,"C. L. Young, Oxides of Nitrogen",,,,,SDS-13_filtered_table_001.csv,SDS-13_filtered,,,,,,,,,,,,
Volume 9,"W. Hayduk, Ethane",,,,,SDS-13_filtered_table_001.csv,SDS-13_filtered,,,,,,,,,,,,
Volume 10,"R. Battino, Nitrogen and Air",,,,,SDS-13_filtered_table_001.csv,SDS-13_filtered,,,,,,,,,,,,
Volume 11,"B. Scrosati and C. A. Vincent, Alkali Metal,",,Alkaline-Earth Metal and,,,SDS-13_filtered_table_001.csv,SDS-13_filtered,,,,,,,,,,,,
,Ammonium Halides. Amide Solvents,,,,,SDS-13_filtered_table_001.csv,SDS-13_filtered,,,,,,,,,,,,
Volume 12,"C. L. Young, Sulfur Dioxide, Chlorine,",Fluorine and Chlorine,,,Oxides,SDS-13_filtered_table_001.csv,SDS-13_filtered,,,,,,,,,,,,
Volume 13,"S. Siekierski, T. Mioduski and M. Salomon,",,"Scandium,","Yttrium,",Lanthanum,SDS-13_filtered_table_001.csv,SDS-13_filtered,,,,,,,,,,,,
,and Lanthanide Nitrates,,,,,SDS-13_filtered_table_001.csv,SDS-13_filtered,,,,,,,,,,,,
Volume 18,"O. Popovych, Tetraphenylborates",,,,,SDS-13_filtered_table_001.csv,SDS-13_filtered,,,,,,,,,,,,
Volumes in preparation,,,,,,SDS-13_filtered_table_001.csv,SDS-13_filtered,,,,,,,,,,,,
H. L. Clever and W.,"Gerrard, Hydrogen Halides in Non-Aqueous",,Solvents,,,SDS-13_filtered_table_001.csv,SDS-13_filtered,,,,,,,,,,,,
H. Miyamoto and,"M. Salomon, Alkaline-Earth Metal Halates",,,,,SDS-13_filtered_table_001.csv,SDS-13_filtered,,,,,,,,,,,,
S. Siekierski and J.,"K. Navratil, Actinide Nitrates",,,,,SDS-13_filtered_table_001.csv,SDS-13_filtered,,,,,,,,,,,,
"A. L. Horvath and F. W. Getzen, Halogenated Benzenes,",,"Toluenes,",,Xylenes and Phenols with Water,,SDS-13_filtered_table_001.csv,SDS-13_filtered,,,,,,,,,,,,
"E. M. Woolley,",Aqueous Silver Chloride Systems,,,,,SDS-13_filtered_table_001.csv,SDS-13_filtered,,,,,,,,,,,,
Z. Galus and,"C. Guminski, Metals and Intermetallic Compounds in Mercury",,,,,SDS-13_filtered_table_001.csv,SDS-13_filtered,,,,,,,,,,,,
H. Miyamoto and,"E. M. Woolley, Silver, Copper and Gold Halates",,,,,SDS-13_filtered_table_001.csv,SDS-13_filtered,,,,,,,,,,,,
"J. W. Lorimer,","Beryllium, Strontium, Barium and Radium Sulfates",,,,,SDS-13_filtered_table_001.csv,SDS-13_filtered,,,,,,,,,,,,
0.0,1.3078,0.2596,93.1,93.55,3.403,SDS-13_filtered_table_002.csv,SDS-13_filtered,,,,,,,,,,,,
22.5,1.2234,0.2888,136.0,135.2,4.917,SDS-13_filtered_table_002.csv,SDS-13_filtered,,,,,,,,,,,,
22.5,1.2721,0.2988,133.0,133.6,4.86,SDS-13_filtered_table_002.csv,SDS-13_filtered,,,,,,,,,,,,
35.0,0.7403,0.1853,155.0,156.1,5.677,SDS-13_filtered_table_002.csv,SDS-13_filtered,,,,,,,,,,,,
