Volume 4,"H. L. Clever, Argon",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
Volume 5/6,"C. L. Young, Hydrogen and Deuterium",,,,
Volume 7,"R. Battino, Oxygen and Ozone",,,,
Volume 8,"C. L. Young, Oxides of Nitrogen",,,,
Volume 9,"W. Hayduk, Ethane",,,,
Volume 10,"R. Battino, Nitrogen and Air",,,,
Volume 11,"B. Scrosati and C. A. Vincent, Alkali Metal,",,Alkaline-Earth Metal and,,
,Ammonium Halides. Amide Solvents,,,,
Volume 12,"C. L. Young, Sulfur Dioxide, Chlorine,",Fluorine and Chlorine,,,Oxides
Volume 13,"S. Siekierski, T. Mioduski and M. Salomon,",,"Scandium,","Yttrium,",Lanthanum
,and Lanthanide Nitrates,,,,
Volume 18,"O. Popovych, Tetraphenylborates",,,,
Volumes in preparation,,,,,
H. L. Clever and W.,"Gerrard, Hydrogen Halides in Non-Aqueous",,Solvents,,
H. Miyamoto and,"M. Salomon, Alkaline-Earth Metal Halates",,,,
S. Siekierski and J.,"K. Navratil, Actinide Nitrates",,,,
"A. L. Horvath and F. W. Getzen, Halogenated Benzenes,",,"Toluenes,",,Xylenes and Phenols with Water,
"E. M. Woolley,",Aqueous Silver Chloride Systems,,,,
Z. Galus and,"C. Guminski, Metals and Intermetallic Compounds in Mercury",,,,
H. Miyamoto and,"E. M. Woolley, Silver, Copper and Gold Halates",,,,
"J. W. Lorimer,","Beryllium, Strontium, Barium and Radium Sulfates",,,,
