- 2.2,9.3,0.88,0.50,Unnamed: 0,Unnamed: 1,Unnamed: 2,""""
- 4.2,13.9,1.39,0.78,,,,""""
- 6.3,18.6,1. 95,1.1,,,,""""
- 9.1,23.2,2.56,1.46,,,,""""
-12.9,27.9,3.26,1.87,,,,""""
-17.1,32.5,4.02,2.33,,,,""""
-24.0,37.2,4.90,2.86,,,,""""
-32.9,42.0,5.93,3.5,,,,""""
-34.2,43.0,6.16,3.64,,,,""""
-37.0,44.0,6.40,3.8,,,,""""
-39.6,45.0,6.65,3.95,,,,""""
-41.,45.5,6.77,4.03,,Ice,+,Ca(CI03)2'6H20
-37.5,46.0,6.90,4.12,,Ca(CI03)2'6H20,,
-30.2,48.0,7.44,4.46,,,,""""
-28,51. 2,8.37,5.07,,,,""""
-26.8,55,9.6,5.9,,Ca(C103)2'6H20,,+ Ca(CI03)2' 4H20
-26.3,55.0,9.62,5.9,,Ca(CI03)2' 4H20,,
-16.2,58.0,10.7,6.67,,,,""""
-12.3,60.0,11.5,7.25,,,,""""
- 7.8,62.7,12.8,8.12,,Ca(CI03)2'4H20,,+ Ca(CI0 )2' 2H20
- 5.0,63.0,12.9,8.23,,Ca(C103)2·2H20,,3
19.5,66.2,14.6,9.46,,,,""""
73.5,76.3,21. 9,15.6,,,,""""
76,77,23,16.0,,Ca(CI03 )2' 2H20,,+ Ca( C103)2
93,78.0,23.6,17.1,,ca( C103)2,,
127 19.4a,80.1,25.9,,,,,""""
