t/OC,mass,%,g/IOO,gH20,mol kg- l
o,3.06,,3.14,,0.256
5,3.67,,3.82,,0.312
10,4.27,,4.45,,0.363
15,5.11,,5.35,,0.437
20,6.76,,7.22,,0.589
25,7.56,,8.17,,0.667
30,8.46,,9.26,,0.756
35,10.29,,11.47,,0.936
40,11.75,,13.31,,1.086
45,13.16,,14.97,,1.222
50,15.18,,17.95,,1.465
55,16.85,,20.27,,1.654
60,18.97,,23.42,,1.911
65,20.32,,25.5,,2.081
70,22.55,,29.16,,2.379
75,24.82,,32.99,,2.692
80,26.97,,36.93,,3.013
85,29.25,,41.35,,3.374
90,31.36,,46.11,,3.763
95,33.76,,51.39,,4.193
100,35.83,,55.54,,4.532
