° tl,c .,Unnamed: 0,"calcd a ,",Unnamed: 1,exptl,mol/kg KH,lO 4,b
0,,,12 . 79,,12 . 88,1 . 08 6,,
5,,,14.05,,14 . 00,1 . 19 6,,
10,,,15 . 46,,1 5 . 50,1 . 3 t. 7,,
;LS,,,16 . 93,,1 6 . 8 7,1 . 491,,
20,,,18.46,,18 . 45,1 . 662,,
"2,5",,,20 . 09,,20 . 04,1.841,,
3 0,,,21 . 7 7,,21 . 90,2.060,,
35,,,"23 , 51",,23.65,"2 , 27 5",,
40,,,"2 5 , 31",,25 . 10,2 .462,,
45,,,"27 , 17",,26 . 90,2 . 7 03,,
50,,,29.07,,29 . 00,3 . 001,,
60,,,33 . 01,,33 . 40,3 . 684,,
7 0,,,3 7 . 10,,37 . 05,4 . 324,,
8 0,,,41 . 29,,41 . 3 0,5 . 169,,
9 0,,,45 . 53,,45 . 5,6 .134,,
