15.70,44.06,1.2875,Unnamed: 0,•,Unnamed: 1,Unnamed: 2
18.25,44.86,1.2926,,•,,
19.10,,,LiC1· 2H :zO,...,,peritectic
:1:0.25,,,LiC1'H:zO,,,point
24.15,45.47,1.2962,LiC1·H:zO,,,
40.05,47.09,1.3034,,•,,
50.20,48.23,1.3080,,"""",,
64.95,50.26,1. 3173,,"""",,
80.85,52.94,1.3372,,"""",,
89.55,54.82,1.3418,,"""",,
93.5,,,LiC1.H:zO,...,,peritectic
:1:0.5,,,LiC1,,,point
95.15,55.83,1.3471,LiC1,,,
100.2,56.3,1.347,,"""",,
120.2,56.9,1.344,,"""",,
140.3,57.6,1.339,,"""",,
155.6,58.3,1.338,,"""",,
d~ =- density relative,to,water,at 4°C.,,,
Vapor,pressures,of,saturated solutions,,,
trc p/mmHg,trC p/mmHg,,trC p/mmHg,trc,,p/mmHg
60.45 14.9,85.15,46.0,99.95 80.0,150.15,,446.3
61.35 15.9,90.10,51.2,109.75 115.6,160.30,,615.4
70.00 26.6,91.00,53.5,119.85 173.9,170.20,,799.0
70.45 26.2,95.25,62.2,130.20 242.7,180.20,,1035.8
80.15 37.9,100.30,78.3,140.05 334.4,,,
