-2,-2.5,Unnamed: 0,5.165,25.825,""""
o,0,,5.275,26.375,NaC1
o,0,,5.320,26.6,
o,0,,5.199,25.995,
o,0,,5.144,25.72,
o,0,,5.232,26.16,
1,1.25,35.2722,-,27.075,
1,1.25,,5.269,26.345,
1,1. 25,,5.248,26.24,
1,1. 25,,5.265,26.325,
1,1. 25,,5.245,26.225,
1,1. 25,,5.307c,26.535,
15,18.75,35.9619,-,26.45,
15,18.75,,5.410,27.05,
17,21.25,,5.319c,26.595,
30,37.5,,5.390,26.95,
30,37.5,,5.337,26.685,
32,40,36.7521,-,26.875,
40,50,,5.454,27.27,
43,53.75,,5.461c,27.305,
45,56.25,37.4098,-,27.225,
50,62.5,,5.520,27.6,
60,75,38.6,-,27.8499,
80 100,,39.6966,-,28.4163,
84 105,,,5.655,28.275,
normal,b.p.,,5.305,26.525,
"""",,,5.344,26.72,
"""",,,5.040,25.2,
"""",,,5.349,26.745,
"""",,,5.329,26.645,
"""",,,5.645c,28.225,
