707.0 269.5,Unnamed: 0,425.8,222.0,Unnamed: 1,Unnamed: 2,313.2 75.6,Unnamed: 3
668.1 335.5,,405.3,190.6,,,343.5 105.8,
609.3 389.5,,386.2,161. 6,,,375.0 146.5,
600.0 392.0,,384.6,160.6,,,406.8 191.9,
577.5 390.0,,363.5,131. 2,,,438.8 240.0,
558.6 384.0,,343.5,106.0,,,470.0 288.0,
555.3 381. 5,,323.0,84.8,,,501.9 332.2,
527.8 360.0,,300.8,66.6,,,525.0 358.2,
504.4 334.5,,279.3,52.0,,,560.0 384.0,
502.6 333.5,,259.8,38.8,,,604.3 391. 0,
488.9 314.5,,219.5,21.5,,,610.0 388.0,
466.9 283.0,,249.5,33.5,,,633.9 373.5,
465.0 281. 0,,280.0,51.0,,,675.0 326.2,
446.6 253.0,,312.2,75.1,,,708.5 269.0,
444.3 250.5,,,,,,,
I. Solubility of NaCl,in,the,gas phase of the,,,three-phase S-L-G,s
(From Tables 2 and,3 of,the,original paper;,,,data on two-phase,
equilibria not compiled.),,,,,,,
t/Dc plbar mass %,,,t/Dc plbar,,,mass %,
"100U,",,,,,,"100u,",
350 114 0.0026,,,500 330,,,0.0243,
360 127 0.0035,,,525 359,,,0.0292,
370 140 0.0046,,,550 379,,,0.0343 a,
380 153 0.0056,,,575 389,,,0.0380,
390 167 0.0068,,,600 392,,,0.0414,
400 182 0.0080,,,625 379,,,0.0744,
425 220 0.0115,,,650 356,,,0.1600,
450 259 0.0157,,,675 326,,,0.3815,
475 296 0.0200,,,700 287,,,0.9416,
