-0.4728a,0.1368,0.7932,-4.7496,1.3926,7.526
-0.6770a,0.1979,1.143,- 5.1824a,1. 5137,8.127
- 0.7998,0.2352,1. 356,- 5.2239,1. 5254,8.185
-0.9026a,0.2646,1.523,-5.9709,1.7329,9.196
-1.1301a,0.3325,1.906,-6.0733a,1. 7592,9.323
-1.3759,0.406,2.318,- 6.4249,1.8566,9.788
- 1.6095a,0.4744,2.698,-6.7494a,1. 9445,10.205
-1. 9736a,0.5828,3.294,- 8.281,2.3490,12.071
- 2.3088 a,0.6826,3.836,- 8.791,2.4797,12.658
-2.7018 a,0.7985,4.459,- 9.692,2.7058,13.654
- 3.1983,0.9459,5.239,- 9.715,2.7117,13.68
-3.3149,0.9788,5.411,-10.186,2.8232,14.163
- 3.6984a,1.0907,5.992,-10.204,2.8325,14.203
- 3.8040,1.12085,6.147,-11.273,3.0858,15.279
- 4.3827,1.2893,7.007,-12.189,3.2993,16.165
- 4.4409a,1.3034,7.078,-13.633,3.6265,17.488
