15,288.15,0.2200,15.66 ..,..
20,293.15,0.2278,..16.38,..
25,298.15,0.2362,17.16 ..,recommended
30,303.15,0.2451,..18.02,tentative
35,308.15,0.2545,18.95 ..,
40,313.15,0.2647,..19.98,..
45,318.15,0.2757,..21.13..,
SO,323.15,0.2876,..22.41,recoounended
1.8,324.95,0.2922,22.91 NaCI04·H20 +,
,,,NaCI04,tentative
55,328.15,0.2942,..23.14NaCI04,
60,333.15,0.2975,..23.50,
65,338.15,0.3008,..23.87,
70,343.15,0.3041,24.26,..
75,348.15,0.3075,24.65,It-
80,353.15,0.3109,25.04,
85,358.15,0.3144,25.45,..
90,363.15,0.3179,..25.87,
95,368.15,0.3215,..26.30,
