Temperature (°C),Text Data,Text Data,Text Data,Phase,Text Data,Temperature (°C),Temperature (°C),Text Data,Empty_Unnamed: 1,Phase
-2.6,18.5,0.699,A,,27.7,61.0,4.81,B,,
-4.9,23.3,0.935,A,,36.3,62.6,5.15,B,,
-9.5,35.6,1. 70,A,,,,,,,
,,,,,41. 3,64.0,5.47,B + C,,
-12.8,40.2,2.07,A,,,,,,,
-18.1,45.9,2.61,A,,48.6,65.3,5.79,C + D +,,E
-22.9,48.9,2.95,A,,52.7,66.5,6.11,C + D +,,E
,,,,,55.4,67.6,6.42,C + D +,,E
-25.9,51. 3,3.24,A +,B,,,,,,
,,,,,60.9,70.2,7.25,C + D +,,E
-15.0,52.4,3.39,B,,69.9,73.4,8.49,C + D +,,E
2.7,54.4,3.67,B,,79.9,76.6,10.07,C + D +,,E
5.3,55.3,3.81,B,,98.4,78.8,11.44,C + D +,,E
15.8,57.9,4.23,B,,122.0,79.9,12.23,C + D +,,E
