bt/OC mass,%,mol,-1 kg,Column_E,phase,b,t/OC,mass,%.1,mol.1,-1 kg.1,Column_M,phase.1
- 0.2 8.8,,0.30,,,A,,42.5,65.9,,5.91,,,C
- 0.7 15.3,,0.55,,,A,,51.3,69.9,,7.1,,,C
- 2.1 22.8,,0.90,,,A,,53.1,71.1,,7.53,,,C
- 5.4 30.0,,1.31,,,A,,,,,,,,
- 9.7 36.2,,1. 74,,,A,,56.1,72.1,,7.9,,,C+D
-12.3 39.5,,2.00,,,A,,,,,,,,
-15.9 43.1,,2.32,,,A,,64.7,72.2,,7.94,,,D
22.9 49.8,,3.03,,,A,,76.4,76.1,,9.74,,,D
,,,,,,,77 .5,78.8,,11.37,,,D
29.7 53.6,,3.53,,,A+B,,,,,,,,
,,,,,,,92.8,84.0,,16.06,,,E
8.1 56.3,,3.94,,,B,,127.0,85.0,,17.33,,,E
8.3 58.8,,4.37,,,B,,,,,,,,
21.3 61.0,,4.78,,,B,,,,,,,,
31. 9 63.2,,5.Z5,,,B,,,,,,,,
34.3 63.6,,5.34,,,B,,,,,,,,
