Column_A,5 0.118,0.120 0.119,Column_D,Column_E,0.306,Column_G,Column_H,A,Column_J
,15 0.194,0.196 0.195,,,0.501,,,A,
,25 0.306,0.307 0.306,,,0.787,,,A,
,30 0.384,0.384 0.384,,,0.989,,,A,
,35 0.475,0.477 0.476,,,1. 227,,A,+ B,
,40 0.584,--- 0.584,,,1.507,,A(m),,
,25 ---,0.405 0.405,,,1. 043,,B(m),,
,40 0.514,0.519 0.517,,,1.333,,,B,
,50 0.589,0.590 0.590,,,1. 522,,,B,
,57.5 0.621,--- 0.621,,,1. 603,,B,+ C,
,60 0.652,--- 0.652,,,1. 683,,B (m),,
,70 0.811,--- 0.811,,,2.097,,B(m),,
,60 ---,0.617 0.617,,,1. 592,,,C,
,70 0.643,0.645 0.644,,,1. 662,,,C,
,80 0.665,0.665 0.665,,,1. 717,,,C,
,90 0.668,0.668 0.668,,,1. 725,,,C,
a,molalities calculated,by compiler.,,,,,,,
b,A = Ca(I03)2·6H20; B =,Ca(I03)2·H20;,,C =,Ca(I0 )2;,,,,
,,,,,3,,,,
,(m) = metastable.,,,,,,,,
,,AUXILIARY,,INFORMATION,,,,,
METHOD/APPARATUS/PROCEDURE:,,,,SOURCE,AND PURITY,OF,MATERIALS:,,
In,carrying out the solubility,deter­,,Calcium,iodate,was,prepared,by,
"minations,",the specified,hydrate in,,double,decomposition,,of Ca(N03)2,,an
each,temperature range was,used. The,,KI03,"in water,","washed,",and,purified,
time,allowed for equilibrium,varied,,by recrystallization.,,,The,hexa­,
from,one day at the highest,tempera­,,hydrate,obtained,,by slow,cooling,
tures,to two or three weeks,at the,,within,the temperature,,range,,below
lower,temperatures. By using,meta­,,"30°C,",the monohydrate,,below,100°C.,
stable,"phases, several points",for,,Each,sample was,dried,in,a desicca­,
metastable,equilibrium were,"obtained,",,tor,over the next,,lower hydrate,,as
and,in which the solubility,of the,,"desicant,",and was,,analyzed,verifyin,
metastable,hydrate remained,constant,,the,correct composition,,within,,a fe
for,as long a period as two,weeks.,,tenths,of a percent.,,The,anhydrate,
The,equilibrium between the,liquid,,was,prepared by,dehydration,,in,an
