-,38.1b,Column_C,Column_D,55.0b,7.96,4.80,--,Ice c
-,29.4,,,49.87,6.578,3.909,--,""""
-,22.2,,,45.11,5.497,3.229,--,""""
-,14.2,,,37.46,4.067,2.353,--,""""
-,9.4,,,29.94,2.936,1. 679,--,""""
-,4.0,,,17.92,1.522,0.8578,--,""""
-,1.8,,,9.29,0.720,0.402,--,""""
-,37.0,±,0.5,54.5d,7.82,4.71,--,Ice + A
-,28,,,57.1,8.61,5.23,--,A
-,16.7,,,57.9,8.87,5.40,--,""""
-,7,,,59.9,9.56,5.87,--,""""
,0,,,61.4,10.1,6.25,--,""""
,9,,,63.47,10.95,6.826,--,""""
,10 ±,,1.0,63.4 d,10.9,6.81,1.829,A + B
,Oa,,,63.23 b,10.85,6.756,1.828,B
,15,,,63.55,10.98,6.850,1.830,""""
,25,,,63.78,11.08,6.918,1.831,""""
,35,,,64.17,11.25,7.037,1.833,""""
,45,,,64.55,11.42,7.154,1.835,B
,50,,,64.65,11.46,7.185,1.837,""""
,55,,,64.95,11.60,7.281,1.838,""""
,65,,,65.32,11. 76,7.400,1.842,""""
,75,,,66.0,12.08,7.627,1.845,""""
,80,,,66.07,12.11,7.651,1.847,""""
,85,,,66.41,12.28,7.768,1.849,""""
,95,,,67.08,12.60,8.006,1.853,""""
