Column_A,- 2.03,16.15,Column_D,1.000,0.5608,--,Column_H,"""",Column_J
,- 1.84,14.94,,0.913,0.5114,--,,"""",
,- 1.14,9.38,,0.54,0.301,--,,"""",
,- c2.18,17.50,,1.1,0.6177,1.165c,Ice,+,A
,0,18.32,,1.163,0.6531,1.177,,A,
,4.4,20.11,,1.303,0.7330,1.199,,"""",
,15,23.97,,1.627,0.9180,1.241,,"""",
,25,27.25,,1.927,1. 091,1.285,,"""",
,35,30.03,,2.202,1.250,1.320,,"""",
,45,32.69,,2.484,1.414,1.356,,"""",
,55,35.15,,2.765,1.578,1.384,,"""",
,65,37.57,,3.06,1. 752,1.422,,"""",
,72,39.15,,3.265,1.873,--,,"""",
,75,39.75,,3.345,1. 921,1.458,,"""",
75.5,± 0.5,39.9 c,,3.365,1. 933,1.458c,A,+,B
,76,39.9,,3.37,1.93,--,,B,
,77,39.9,,3.37,1.93,1.457,,,
,79,40.1,,3.39,1. 95,--,,,
,80,40.1,,3.39,1. 95,1.461,,,
,82,40.37,,3.43,1.971,--,,,
,85,40.60,,3.461,1. 990,1.462,,,
,90,40.75,,3.482,2.003,1.465,,,
,95,40.89,,3.502,2.014,1.465,,,
104 ±,1,41.0 c,,3.517,2.023,1.470 c,,,
